t,loss,entropy,gate_open,updated
1,3.51369571685791,3.682075023651123,1,1
2,3.8888936042785645,3.767007827758789,0,0
3,3.975242853164673,3.985381603240967,0,0
4,3.7260985374450684,3.710841178894043,1,1
5,3.420592784881592,3.32466197013855,1,1
6,3.6048262119293213,3.5076470375061035,0,0
7,3.786606788635254,3.5310049057006836,0,0
8,3.635162115097046,3.5501508712768555,1,1
9,3.5461456775665283,3.5659542083740234,1,1
10,2.987276792526245,3.2136030197143555,1,1
11,3.6165008544921875,3.5113461017608643,1,1
12,3.2153706550598145,3.3024239540100098,0,0
13,3.563997268676758,3.524219274520874,1,1
14,3.9438650608062744,3.5867297649383545,1,1
15,3.533583641052246,3.39749813079834,0,0
16,4.050452709197998,3.409369468688965,1,1
17,3.357339382171631,3.132568359375,0,0
18,3.123068332672119,2.9614510536193848,0,0
19,3.6786246299743652,3.465945243835449,0,0
20,3.783998966217041,3.512573480606079,0,0
21,3.9271411895751953,3.6647043228149414,0,0
22,3.757376194000244,3.410102128982544,0,0
23,3.967686414718628,3.539789915084839,0,0
24,3.1221675872802734,3.0484955310821533,0,0
25,3.0335159301757812,2.8786728382110596,1,1
26,3.366638660430908,2.989461898803711,0,0
27,3.5162510871887207,3.123018264770508,0,0
28,3.6140482425689697,3.4436473846435547,1,1
29,3.4466118812561035,3.3708863258361816,0,0
30,3.392162799835205,3.071209192276001,1,1
31,3.1753718852996826,2.990269899368286,0,0
32,2.995882034301758,2.9083781242370605,1,1
33,3.106407403945923,2.8888654708862305,1,1
34,3.5478203296661377,3.262748956680298,1,1
35,3.427654266357422,3.1150264739990234,0,0
36,2.9888408184051514,2.7912278175354004,0,0
37,3.3555989265441895,2.9679219722747803,0,0
38,3.2879912853240967,2.7618472576141357,1,1
39,3.101337194442749,2.8962669372558594,0,0
40,3.7767064571380615,3.356801748275757,1,1
41,3.517152786254883,3.3730828762054443,0,0
42,3.696570873260498,3.4750280380249023,0,0
43,3.2916078567504883,3.0434341430664062,0,0
44,3.512051582336426,3.127706527709961,1,1
45,3.0141632556915283,3.0407419204711914,0,0
46,3.21183443069458,3.1045022010803223,0,0
47,3.371544361114502,3.0618417263031006,0,0
48,3.614313840866089,3.2706007957458496,1,1
49,3.155425548553467,3.1470866203308105,0,0
50,3.646393299102783,3.1692957878112793,1,1
51,3.589526414871216,3.4047961235046387,0,0
52,3.4523680210113525,3.334967613220215,0,0
53,3.558969497680664,3.2417917251586914,1,1
54,3.049635648727417,3.097095012664795,1,1
55,3.736950159072876,3.450899362564087,0,0
56,3.495089054107666,3.326878786087036,1,1
57,3.903848171234131,3.5125787258148193,1,1
58,3.481037139892578,3.186657428741455,0,0
59,3.4795491695404053,3.228736400604248,0,0
60,2.9344067573547363,2.6894543170928955,0,0
61,3.0641231536865234,2.8138766288757324,0,0
62,3.3112189769744873,2.9131674766540527,0,0
63,3.201709270477295,3.0302133560180664,0,0
64,3.3474035263061523,3.081294536590576,1,1
65,3.042705535888672,2.983407974243164,1,1
66,3.17523455619812,3.1528353691101074,1,1
