t,cka,drift,heldout_dom,heldout_off
100,,,2.347206324338913,1.3250714167952538
200,,,2.3398768603801727,1.324325516819954
300,1.0,0.0,2.333215206861496,1.3234826624393463
400,0.9999703629399994,2.9637060000586857e-05,2.328103020787239,1.3239535763859749
500,0.9999697738525608,3.022614743919405e-05,2.3243255466222763,1.3254211843013763
600,0.999916594978384,8.340502161596763e-05,2.320455029606819,1.3271855413913727
700,0.9998806031692655,0.00011939683073447505,2.31727097928524,1.3279883712530136
800,0.9998870641117837,0.000112935888216259,2.3137534111738205,1.327604353427887
900,0.9998388684316646,0.0001611315683354153,2.3111195862293243,1.3296659737825394
1000,0.9996684261585109,0.00033157384148907454,2.31006783246994,1.3323010876774788
1100,0.9996853964681706,0.00031460353182943823,2.3071433007717133,1.3329581022262573
1200,0.9996578729104982,0.00034212708950176474,2.303732305765152,1.3326793536543846
1300,0.9995510119510699,0.00044898804893012123,2.3023620396852493,1.3334786146879196
1400,0.9995064567271086,0.0004935432728914169,2.298451766371727,1.332931138575077
1500,0.9996513561716481,0.0003486438283518689,2.295847848057747,1.3332409486174583
1600,0.9996162456915018,0.0003837543084982409,2.2936669811606407,1.333921954035759
1700,0.9996068345925386,0.0003931654074613711,2.291222929954529,1.3340832740068436
1800,0.999597118898237,0.0004028811017630085,2.2894854471087456,1.3360150381922722
1900,0.9995923506501045,0.00040764934989545587,2.287207029759884,1.3361205607652664
2000,0.9995836404977654,0.00041635950223462004,2.284745156764984,1.336220808327198
2100,0.9995967733576263,0.00040322664237368855,2.2830787301063538,1.3357156440615654
2200,0.9995717806225105,0.00042821937748949157,2.280766174197197,1.3387103453278542
2300,0.9995572562697038,0.0004427437302961801,2.2796196937561035,1.341112419962883
2400,0.9995149980027045,0.00048500199729550886,2.277298055589199,1.3403967916965485
2500,0.9993766568672113,0.0006233431327886674,2.275874502956867,1.3425764292478561
2600,0.9993824735751464,0.0006175264248535761,2.272990830242634,1.3437763527035713
2700,0.999347800749039,0.0006521992509610497,2.2709482684731483,1.3444285616278648
2800,0.9993469032613093,0.0006530967386907394,2.270127311348915,1.3452033177018166
2900,0.9993177304541893,0.0006822695458107431,2.2686776220798492,1.3437268137931824
3000,0.999281021501078,0.0007189784989219961,2.2655421644449234,1.345501460134983
3100,0.9992759833820254,0.0007240166179746099,2.263803832232952,1.3459631651639938
3200,0.9992382146366755,0.0007617853633244964,2.2627275064587593,1.3466853871941566
3300,0.9992451273831892,0.0007548726168108422,2.2601730301976204,1.3502883985638618
3400,0.9992286730210784,0.0007713269789215715,2.25667255371809,1.3529967218637466
3500,0.9992600615607843,0.0007399384392157149,2.2532139495015144,1.3519246950745583
3600,0.999262031545642,0.0007379684543580289,2.25006502866745,1.3637154400348663
3700,0.9992190611681023,0.0007809388318976707,2.2475216388702393,1.3605481460690498
3800,0.9992488212218176,0.0007511787781824264,2.245045654475689,1.3656589984893799
3900,0.9992360191593036,0.0007639808406963988,2.2438633739948273,1.3628085181117058
4000,0.9990477404457677,0.000952259554232282,2.242627464234829,1.3661926984786987
4100,0.9992121486194512,0.0007878513805488208,2.238695964217186,1.3661710619926453
4200,0.9991686284344017,0.0008313715655983156,2.231280140578747,1.3707145750522614
4300,0.9991715229757041,0.0008284770242958928,2.2267370745539665,1.3665350526571274
4400,0.999270328767906,0.000729671232093998,2.224410258233547,1.3705542758107185
4500,0.9993021649850198,0.0006978350149802193,2.221572309732437,1.370528943836689
4600,0.9993044627342496,0.0006955372657504455,2.219746172428131,1.3693167939782143
4700,0.9990891657727698,0.0009108342272301506,2.220157727599144,1.3741776794195175
4800,0.9991981706671398,0.0008018293328602155,2.2178672775626183,1.3747688382863998
4900,0.9991791266110489,0.0008208733889510933,2.214765653014183,1.3728943020105362
5000,0.9991798196109647,0.0008201803890353077,2.2131608054041862,1.3676763251423836
