t,loss,entropy,gate_open,updated
1,3.51369571685791,3.682075023651123,1,1
2,3.8889060020446777,3.767010450363159,1,1
3,3.958677291870117,3.8124496936798096,1,1
4,3.6460092067718506,3.45700740814209,1,1
5,3.40207576751709,3.1900224685668945,1,1
6,3.5465846061706543,3.4190409183502197,1,1
7,3.70906925201416,3.4322118759155273,1,1
8,3.5176379680633545,3.3873748779296875,1,1
9,3.4605422019958496,3.471449851989746,1,1
10,3.0001022815704346,3.1865291595458984,1,1
11,3.612123966217041,3.47861909866333,1,1
12,3.251178026199341,3.318767786026001,1,1
13,3.5424234867095947,3.500378131866455,1,1
14,3.912463426589966,3.5248138904571533,1,1
15,3.5256400108337402,3.3813672065734863,1,1
16,4.009428977966309,3.297774314880371,1,1
17,3.3622710704803467,3.1464571952819824,1,1
18,3.1205894947052,2.9491512775421143,1,1
19,3.6931135654449463,3.4490084648132324,1,1
20,3.7169394493103027,3.448380947113037,1,1
21,3.8699634075164795,3.6149559020996094,1,1
22,3.6710574626922607,3.376554250717163,1,1
23,3.8434953689575195,3.520569324493408,1,1
24,2.9864161014556885,2.987166404724121,1,1
25,2.965094566345215,2.8199915885925293,1,1
26,3.2864420413970947,3.1171226501464844,1,1
27,3.388267755508423,3.1862452030181885,1,1
28,3.5677506923675537,3.3994674682617188,1,1
29,3.3993160724639893,3.3403003215789795,1,1
30,3.3642399311065674,3.117560386657715,1,1
31,3.1735711097717285,2.9454052448272705,1,1
32,2.938197135925293,2.8408429622650146,1,1
33,3.0524802207946777,2.894355297088623,1,1
34,3.4911065101623535,3.218580722808838,1,1
35,3.4334511756896973,3.053074836730957,1,1
36,2.9303953647613525,2.6836445331573486,1,1
37,3.248521566390991,2.8571176528930664,1,1
38,3.310659170150757,2.7747299671173096,1,1
39,3.0328447818756104,2.786040782928467,1,1
40,3.814359426498413,3.3056576251983643,1,1
41,3.5298168659210205,3.3816568851470947,1,1
42,3.7303600311279297,3.4714598655700684,1,1
43,3.2982380390167236,3.0593578815460205,1,1
44,3.4842514991760254,3.1348345279693604,1,1
45,3.088632345199585,3.046171188354492,1,1
46,3.1830849647521973,2.952786445617676,1,1
47,3.3393137454986572,3.059115409851074,1,1
48,3.622544288635254,3.210735559463501,1,1
49,3.0717554092407227,3.007625102996826,1,1
50,3.678786277770996,3.227389335632324,1,1
51,3.564389944076538,3.2927589416503906,1,1
52,3.397735118865967,3.1300458908081055,1,1
53,3.5237197875976562,3.2340574264526367,1,1
54,2.972714424133301,3.052525043487549,0,0
55,3.7176828384399414,3.455235719680786,0,0
56,3.5650010108947754,3.3343729972839355,1,1
57,3.9166877269744873,3.5475456714630127,0,0
58,3.5663998126983643,3.2266762256622314,1,1
59,3.4713892936706543,3.241663932800293,1,1
60,2.9308156967163086,2.6129634380340576,0,0
61,3.1197805404663086,2.7664246559143066,0,0
62,3.3016624450683594,2.9118545055389404,1,1
63,3.1276416778564453,2.966657876968384,0,0
64,3.386791229248047,3.1043176651000977,1,1
65,3.0602619647979736,2.900207996368408,0,0
66,3.127270221710205,2.901123046875,0,0
67,3.1117782592773438,3.04774808883667,0,0
68,3.682847499847412,3.3463733196258545,0,0
69,3.6641147136688232,3.440398931503296,0,0
70,3.6094894409179688,3.308016300201416,1,1
71,3.6351025104522705,3.3737146854400635,1,1
72,3.7108731269836426,3.587022304534912,0,0
73,4.038152694702148,3.63496994972229,0,0
74,3.8093392848968506,3.3748462200164795,0,0
75,3.555612087249756,3.392110824584961,1,1
76,3.608652114868164,3.361842155456543,1,1
77,3.720038414001465,3.419109344482422,0,0
78,3.582218647003174,3.3924145698547363,1,1
79,3.88206148147583,3.3250155448913574,0,0
80,3.505718946456909,3.262399673461914,1,1
81,3.584155797958374,3.2405452728271484,1,1
82,3.5367274284362793,3.2147374153137207,1,1
83,3.7297558784484863,3.2863662242889404,0,0
84,3.34700345993042,3.0116028785705566,1,1
85,3.5386602878570557,3.1947367191314697,1,1
86,3.651456594467163,3.190358877182007,1,1
87,3.7459557056427,3.1022591590881348,0,0
88,3.8524715900421143,3.3264355659484863,0,0
89,3.4356236457824707,2.879883289337158,1,1
90,3.300996780395508,2.875241994857788,1,1
91,3.5578420162200928,3.130585193634033,1,1
92,3.6485228538513184,3.245844841003418,1,1
93,3.839801788330078,3.086276054382324,0,0
94,4.1307148933410645,3.460047721862793,0,0
95,4.132780075073242,3.5102572441101074,0,0
96,3.6746721267700195,3.121310234069824,1,1
97,3.446934700012207,2.99684476852417,1,1
98,3.277287483215332,2.9279210567474365,0,0
99,3.554446220397949,3.084156036376953,1,1
100,3.668358087539673,3.0918455123901367,1,1
101,3.6565370559692383,3.225101947784424,1,1
102,3.7623653411865234,3.226926326751709,0,0
103,3.5747342109680176,3.120962142944336,1,1
104,3.435915946960449,3.0386335849761963,1,1
105,3.6997978687286377,3.1303389072418213,0,0
106,2.9880292415618896,2.759497880935669,0,0
107,3.219853162765503,2.983595848083496,0,0
108,3.5231773853302,3.264151096343994,1,1
109,3.508009195327759,3.1290385723114014,1,1
110,3.8797035217285156,3.191101551055908,0,0
111,3.1161789894104004,2.9344003200531006,0,0
112,2.7839291095733643,2.5737061500549316,0,0
113,3.1244282722473145,2.952068328857422,0,0
114,2.9966886043548584,2.973944902420044,0,0
115,3.433497428894043,3.130540370941162,1,1
116,3.5105037689208984,3.1147022247314453,1,1
117,3.6106698513031006,3.168099880218506,1,1
118,3.5516109466552734,3.1214168071746826,1,1
119,3.5120809078216553,3.30804443359375,1,1
120,3.733625888824463,3.374354839324951,0,0
121,3.750420093536377,3.3599979877471924,0,0
122,3.7941441535949707,3.4951319694519043,0,0
123,4.173091888427734,3.685340404510498,0,0
124,3.8962647914886475,3.487334728240967,0,0
125,3.6794991493225098,3.366095781326294,1,1
126,3.889622211456299,3.5219781398773193,0,0
127,3.6660003662109375,3.3721046447753906,1,1
128,3.883178949356079,3.4890031814575195,0,0
129,3.691150426864624,3.2814574241638184,1,1
130,3.6289420127868652,3.094351053237915,1,1
131,3.5046281814575195,3.045738697052002,1,1
132,3.275408983230591,2.9339957237243652,0,0
133,3.2186646461486816,2.949657440185547,0,0
134,3.230231761932373,2.8339385986328125,0,0
135,3.400444746017456,3.071652889251709,1,1
136,3.269817590713501,3.0726449489593506,0,0
137,3.392723321914673,3.0636212825775146,1,1
138,3.385932207107544,3.114717483520508,1,1
139,3.3509232997894287,3.141900062561035,1,1
140,3.218947172164917,3.1608424186706543,0,0
141,3.458444833755493,3.133352756500244,1,1
142,3.2870564460754395,3.237924814224243,0,0
143,3.520505666732788,3.215153217315674,1,1
144,3.3895721435546875,2.9734721183776855,1,1
145,3.447047233581543,3.1120071411132812,1,1
146,3.279398202896118,2.887263059616089,0,0
147,3.4679880142211914,2.9234724044799805,1,1
148,3.61873459815979,3.0519509315490723,1,1
149,3.5578930377960205,3.1731181144714355,1,1
150,3.2614879608154297,3.037010431289673,0,0
151,3.4811155796051025,2.980228900909424,1,1
152,3.348064661026001,2.995595932006836,1,1
153,3.66843318939209,2.9820947647094727,1,1
154,3.282447338104248,2.8809854984283447,0,0
155,3.3178696632385254,2.855278491973877,1,1
156,3.735868453979492,3.096100330352783,0,0
157,4.056288719177246,3.446476459503174,0,0
158,3.7526438236236572,3.421245574951172,0,0
159,3.8996293544769287,3.2628817558288574,0,0
160,3.681630849838257,2.962970018386841,0,0
161,3.806098461151123,3.1368916034698486,0,0
162,3.6660027503967285,2.9880456924438477,1,1
163,3.1168136596679688,2.8183531761169434,0,0
164,3.334141969680786,2.7410922050476074,1,1
165,3.1437652111053467,2.904761791229248,0,0
166,3.608111619949341,2.9611153602600098,1,1
167,2.7670910358428955,2.6057586669921875,0,0
168,3.219935178756714,2.8943400382995605,0,0
169,3.229177236557007,2.974195957183838,0,0
170,3.043193817138672,2.7853169441223145,0,0
171,3.3742339611053467,3.098876714706421,1,1
172,3.79842209815979,3.168747901916504,0,0
173,3.7459800243377686,3.237049102783203,0,0
174,3.2940433025360107,2.706698179244995,1,1
175,3.0912773609161377,2.9577488899230957,0,0
176,3.131112575531006,2.7300944328308105,0,0
177,2.6689629554748535,2.278740882873535,0,0
178,3.091562271118164,2.7799317836761475,0,0
179,3.572890281677246,3.050550937652588,1,1
180,3.452368974685669,3.1874289512634277,1,1
181,3.4977030754089355,3.2725625038146973,1,1
182,3.463761329650879,3.0596108436584473,1,1
183,3.7536845207214355,3.36727237701416,0,0
184,3.486025810241699,3.157663106918335,1,1
185,3.6206765174865723,3.223799228668213,1,1
186,3.765908718109131,3.264211654663086,0,0
187,3.697657346725464,3.217880964279175,0,0
188,3.959153175354004,3.289391279220581,0,0
189,3.556112289428711,3.165682792663574,1,1
190,3.47053861618042,2.988617420196533,1,1
191,3.513953685760498,3.0906152725219727,1,1
192,3.659925937652588,3.22652006149292,1,1
193,3.633441925048828,3.1863255500793457,1,1
194,3.0805928707122803,3.016035795211792,0,0
195,3.166796922683716,3.0169670581817627,0,0
196,3.6230950355529785,3.271976947784424,1,1
197,3.468879222869873,3.2127857208251953,1,1
198,3.541670083999634,3.269517421722412,1,1
199,3.319035291671753,3.091372489929199,1,1
200,3.3702127933502197,3.048999309539795,1,1
201,3.5076310634613037,3.32419753074646,1,1
202,3.510423421859741,3.268219470977783,1,1
203,3.5996174812316895,3.1535732746124268,1,1
204,3.6210038661956787,3.0331993103027344,1,1
205,3.471186637878418,3.2654736042022705,1,1
206,3.3006834983825684,2.9362802505493164,1,1
207,3.3080809116363525,3.0898518562316895,1,1
208,3.3005788326263428,3.0701653957366943,1,1
209,3.4628915786743164,3.193690299987793,1,1
210,3.191133737564087,3.0574963092803955,0,0
211,3.325202465057373,2.9828944206237793,1,1
212,3.5432095527648926,3.090405225753784,1,1
213,4.070915222167969,3.2825372219085693,0,0
214,3.770585775375366,3.1099748611450195,0,0
215,4.060917854309082,3.3409900665283203,0,0
216,3.7397236824035645,3.24526047706604,0,0
217,3.8969717025756836,3.3788387775421143,0,0
218,3.7604563236236572,3.214369773864746,0,0
219,3.491776466369629,2.9180960655212402,1,1
220,3.0358757972717285,2.745328903198242,0,0
221,3.1620354652404785,2.8176050186157227,0,0
222,3.1217801570892334,2.799476385116577,0,0
223,2.788029909133911,2.55263614654541,0,0
224,2.930309534072876,2.64677357673645,0,0
225,3.092740058898926,2.87961483001709,0,0
226,2.8273158073425293,2.7676587104797363,0,0
227,2.884333610534668,2.7894392013549805,0,0
228,2.916490077972412,2.7823948860168457,0,0
229,3.44047212600708,3.0772576332092285,1,1
230,3.1781561374664307,2.8762683868408203,0,0
231,3.1766932010650635,2.890141010284424,0,0
232,3.17091965675354,2.8293075561523438,0,0
233,3.4515562057495117,3.0379137992858887,1,1
234,2.7630128860473633,2.6912789344787598,0,0
235,3.161630392074585,2.916778087615967,0,0
236,3.1860413551330566,2.9241831302642822,0,0
237,3.3269920349121094,2.8140382766723633,1,1
238,3.4075276851654053,3.0791640281677246,1,1
239,3.123635768890381,2.928539276123047,0,0
240,2.9022481441497803,2.726726531982422,0,0
241,3.514697551727295,3.0968708992004395,1,1
242,2.979235887527466,2.698883056640625,0,0
243,3.7195541858673096,3.3549718856811523,0,0
244,2.999063491821289,2.8968262672424316,0,0
245,3.1651759147644043,2.871173858642578,0,0
246,3.5524861812591553,3.259934425354004,1,1
247,3.6095402240753174,3.123544931411743,1,1
248,3.375035524368286,2.888169765472412,1,1
249,3.403001546859741,3.0918588638305664,1,1
250,3.577204704284668,3.3617827892303467,1,1
251,3.3928608894348145,3.1001601219177246,1,1
252,3.787630558013916,3.232067584991455,0,0
253,3.4139976501464844,2.9747276306152344,1,1
254,3.528825521469116,3.142855167388916,1,1
255,3.6746935844421387,2.890718936920166,0,0
256,4.132964611053467,3.118274450302124,0,0
257,3.56715989112854,3.0097179412841797,1,1
258,3.5091171264648438,3.0065364837646484,1,1
259,3.6978461742401123,2.9728569984436035,0,0
260,3.8179666996002197,2.8501696586608887,0,0
261,3.847733974456787,3.031374454498291,0,0
262,3.6782753467559814,2.908297300338745,0,0
263,3.9170846939086914,3.0769975185394287,0,0
264,3.616051435470581,2.936461925506592,1,1
265,3.100785732269287,2.617542266845703,0,0
266,3.54443621635437,2.979186773300171,1,1
267,3.109959363937378,2.6596012115478516,0,0
268,2.818117618560791,2.4206957817077637,0,0
269,3.189182758331299,2.88533878326416,0,0
270,3.1096746921539307,2.755798101425171,0,0
271,3.4111757278442383,2.850841999053955,1,1
272,3.701554775238037,3.1927578449249268,0,0
