t,cka,drift,heldout_loss
100,,,3.4752941727638245
200,,,3.4845229983329773
300,1.0,0.0,3.4934764206409454
400,0.6414156448182821,0.35858435518171794,3.4679470658302307
500,0.6333389912457044,0.36666100875429564,3.441414922475815
600,0.6395191661449079,0.3604808338550921,3.4592500627040863
700,0.6353174647648009,0.3646825352351991,3.4211753010749817
800,0.6317946687772457,0.36820533122275434,3.414176434278488
900,0.6433972621087387,0.3566027378912613,3.4187634587287903
1000,0.6367569894034198,0.36324301059658015,3.4206658005714417
1100,0.6440147489081943,0.3559852510918057,3.3863494396209717
1200,0.6463230991377605,0.35367690086223946,3.400506764650345
1300,0.6397030573537693,0.3602969426462307,3.3807342648506165
1400,0.6397367356030789,0.36026326439692113,3.404419928789139
1500,0.6465215266572112,0.3534784733427888,3.380672514438629
1600,0.6392083943268814,0.36079160567311863,3.392041355371475
1700,0.6451313536855346,0.35486864631446535,3.3754900693893433
1800,0.6477553538491071,0.3522446461508929,3.3756304681301117
1900,0.6424908404494478,0.3575091595505522,3.3743832111358643
2000,0.6418840859918483,0.3581159140081517,3.357371747493744
2100,0.653956224209574,0.346043775790426,3.377209335565567
2200,0.642989277557064,0.35701072244293597,3.3522981107234955
2300,0.6516844072122252,0.3483155927877748,3.401775449514389
2400,0.6503539169739789,0.34964608302602107,3.3598645627498627
2500,0.6438205411106062,0.35617945888939384,3.375822991132736
2600,0.6407700950202815,0.3592299049797185,3.3464529514312744
2700,0.6412985320033807,0.3587014679966193,3.3250552713871
2800,0.6379325660506441,0.3620674339493559,3.3129018545150757
2900,0.6383918159012091,0.3616081840987909,3.3162446320056915
3000,0.6421444568813558,0.3578555431186442,3.318904459476471
3100,0.6391048586137308,0.3608951413862692,3.3190704584121704
3200,0.6403499475739829,0.3596500524260171,3.3183264434337616
3300,0.6407570765237536,0.3592429234762464,3.335013210773468
3400,0.6379433137951743,0.3620566862048257,3.3228881657123566
3500,0.6387033117356925,0.3612966882643075,3.3429901897907257
3600,0.6418528174889623,0.3581471825110377,3.3100720942020416
3700,0.6421226732187285,0.3578773267812715,3.3164713084697723
3800,0.6467232947741322,0.35327670522586785,3.3013353049755096
3900,0.6508756995853514,0.3491243004146486,3.3218537867069244
4000,0.6484109984675835,0.35158900153241646,3.3308036625385284
4100,0.6404683472757209,0.3595316527242791,3.3280291855335236
4200,0.6468663321489825,0.3531336678510175,3.318060040473938
4300,0.6402263273415401,0.35977367265845994,3.334588259458542
4400,0.6440195617632303,0.3559804382367697,3.325839191675186
4500,0.6434303933671072,0.35656960663289283,3.3171676695346832
4600,0.6397713578000283,0.36022864219997175,3.2972967326641083
4700,0.646055438755235,0.35394456124476503,3.3048950731754303
4800,0.6479738936525842,0.3520261063474158,3.309041053056717
4900,0.6454588184545756,0.35454118154542436,3.3119978308677673
5000,0.6417347146175421,0.35826528538245794,3.308957278728485
5100,0.6429229763071476,0.35707702369285244,3.286851227283478
5200,0.6406225380030555,0.35937746199694454,3.2887109220027924
5300,0.6421614576838105,0.3578385423161895,3.2999983429908752
5400,0.6456042430902131,0.35439575690978686,3.300790786743164
5500,0.6425380609412332,0.3574619390587668,3.286813348531723
5600,0.6394696731561774,0.3605303268438226,3.308768540620804
5700,0.6419183067763099,0.3580816932236901,3.2832182347774506
5800,0.6378425189913229,0.36215748100867706,3.2931509613990784
5900,0.6429451410548794,0.35705485894512057,3.2871560156345367
6000,0.6324359402737756,0.3675640597262244,3.2875418961048126
6100,0.6312030817591311,0.3687969182408689,3.3136263489723206
6200,0.6401201078182976,0.35987989218170235,3.3093526363372803
6300,0.6420828725344183,0.3579171274655817,3.293310135602951
6400,0.6466732649187011,0.35332673508129886,3.2899710834026337
6500,0.638080020390054,0.36191997960994604,3.2761632204055786
6600,0.6366492612901146,0.36335073870988543,3.2808323800563812
6700,0.6416274006681275,0.3583725993318725,3.267331123352051
6800,0.6445110884351127,0.35548891156488727,3.2714379727840424
6900,0.6468936535488156,0.35310634645118444,3.286362648010254
7000,0.6425015001282038,0.35749849987179616,3.2742300033569336
7100,0.6396653180716168,0.36033468192838325,3.287259668111801
7200,0.6411523463544541,0.35884765364554594,3.2757599651813507
7300,0.6398377970267057,0.36016220297329427,3.292357712984085
7400,0.640043525952822,0.359956474047178,3.2773976922035217
7500,0.6457330229263744,0.35426697707362564,3.283442348241806
7600,0.6422690418898912,0.3577309581101088,3.2721967101097107
7700,0.6400783907086424,0.35992160929135764,3.2657231390476227
7800,0.6391092527485923,0.3608907472514077,3.2582142055034637
7900,0.6404013685012067,0.35959863149879334,3.274794101715088
8000,0.6376269683507593,0.36237303164924073,3.27786123752594
8100,0.6384233899100279,0.3615766100899721,3.2736101150512695
8200,0.6403324317091108,0.3596675682908892,3.257257401943207
8300,0.6417790137109662,0.35822098628903376,3.2644444704055786
8400,0.638487403988265,0.361512596011735,3.2537232041358948
8500,0.6453997974759602,0.3546002025240398,3.2519985735416412
8600,0.6397557528374195,0.3602442471625805,3.274378091096878
8700,0.6424437797012323,0.35755622029876766,3.262840509414673
8800,0.6403727359938579,0.3596272640061421,3.258674442768097
8900,0.6464659014064049,0.3535340985935951,3.273108631372452
9000,0.6399295879041325,0.36007041209586754,3.2803956866264343
9100,0.643290577010316,0.356709422989684,3.2672387063503265
9200,0.6428077490580437,0.3571922509419563,3.2893785536289215
9300,0.6393918516118857,0.3606081483881143,3.2657966911792755
9400,0.640387989761283,0.35961201023871703,3.267128586769104
9500,0.6384881438561457,0.3615118561438543,3.271126538515091
9600,0.6404020856200775,0.3595979143799225,3.264998733997345
9700,0.6394556831411726,0.3605443168588274,3.2464922666549683
9800,0.6441899784963109,0.3558100215036891,3.249336153268814
9900,0.6398188791255457,0.3601811208744543,3.25531929731369
10000,0.6427597509674143,0.35724024903258567,3.274156093597412
