t,cka,drift,heldout_ce
100,,,3.8445306420326233
200,,,3.8173302114009857
300,1.0,0.0,3.807131588459015
400,0.999698656876668,0.0003013431233319652,3.7989629805088043
500,0.999603934790421,0.0003960652095790218,3.7967427372932434
600,0.9994082968931319,0.0005917031068680689,3.7918945848941803
700,0.9993572063798711,0.0006427936201288675,3.7853836119174957
800,0.9992255698035586,0.0007744301964414113,3.788507968187332
900,0.9989302176663927,0.0010697823336073276,3.792183816432953
1000,0.9992376714460763,0.0007623285539236635,3.783286541700363
1100,0.9991512496717173,0.000848750328282688,3.7789834439754486
1200,0.9990686007115426,0.000931399288457424,3.779353052377701
1300,0.9988471256071212,0.001152874392878811,3.7790847718715668
1400,0.998784664369456,0.00121533563054399,3.7768139839172363
1500,0.9986768651800442,0.001323134819955829,3.7752047777175903
1600,0.9985838919328551,0.0014161080671448723,3.776160091161728
1700,0.998287885600451,0.0017121143995489918,3.774637758731842
1800,0.9979719666329231,0.002028033367076909,3.7745825350284576
1900,0.9978297322651041,0.0021702677348959254,3.772859036922455
2000,0.9977651487532937,0.002234851246706304,3.770318239927292
2100,0.9978473057462715,0.0021526942537285487,3.7680045068264008
2200,0.9973567553983206,0.0026432446016794175,3.7691104114055634
2300,0.9975837794542116,0.0024162205457883834,3.769532263278961
2400,0.9975543292807083,0.0024456707192916927,3.769401252269745
2500,0.9977990995044512,0.0022009004955487743,3.765903562307358
2600,0.9975702789403258,0.002429721059674206,3.7671146988868713
2700,0.9975735450989729,0.0024264549010271086,3.7673937380313873
2800,0.9975160599293532,0.002483940070646784,3.7630906999111176
2900,0.9978560954062229,0.002143904593777113,3.762536883354187
3000,0.997912150116254,0.0020878498837459958,3.7640507519245148
3100,0.9979248133853852,0.00207518661461481,3.765959769487381
3200,0.9979081386298158,0.002091861370184245,3.761041909456253
3300,0.9978457168475192,0.002154283152480785,3.7584514915943146
3400,0.9977011847192673,0.0022988152807327245,3.7592764496803284
3500,0.9977663725746357,0.0022336274253642596,3.7591456174850464
3600,0.9976382457193858,0.0023617542806142477,3.7567048966884613
3700,0.9975008017780209,0.002499198221979082,3.7611509561538696
3800,0.9974211881751248,0.0025788118248751823,3.7596859335899353
3900,0.9971164566961782,0.0028835433038217895,3.7619315683841705
4000,0.9970407192035257,0.0029592807964743395,3.7553954124450684
4100,0.9970411465255471,0.002958853474452905,3.7552900314331055
4200,0.997242948906074,0.0027570510939259885,3.757217764854431
4300,0.9974405778045276,0.0025594221954724494,3.757015973329544
4400,0.9974215149518441,0.002578485048155943,3.756160467863083
4500,0.9972943944882713,0.0027056055117287148,3.7572596967220306
4600,0.9972798327738384,0.0027201672261616405,3.757658004760742
