step,loss,entropy,neurons
0,0.4406946301460266,0.04869472235441208,8
1,0.43383273482322693,0.040802594274282455,8
2,0.4247649013996124,0.050687987357378006,8
3,0.41376060247421265,0.06861492991447449,8
4,0.4015604257583618,0.08916743099689484,8
5,0.3893270790576935,0.1107204332947731,8
6,0.37887904047966003,0.13282480835914612,8
7,0.3721384108066559,0.1550866663455963,8
8,0.37033212184906006,0.1764950156211853,8
9,0.3724178373813629,0.19520555436611176,8
10,0.3752173185348511,0.20940932631492615,8
11,0.3758014738559723,0.218846395611763,8
12,0.37311115860939026,0.22422978281974792,8
13,0.3682583272457123,0.22669750452041626,8
14,0.3627719581127167,0.22727060317993164,8
15,0.35753726959228516,0.2272385060787201,8
16,0.35300904512405396,0.22772882878780365,8
17,0.3491949141025543,0.229475200176239,8
18,0.3456277847290039,0.23274020850658417,8
19,0.3415515422821045,0.2374432235956192,8
20,0.3364226818084717,0.24328884482383728,8
21,0.33016669750213623,0.25010281801223755,8
22,0.3229239583015442,0.25788891315460205,8
23,0.31491971015930176,0.2666906416416168,8
24,0.3063746392726898,0.27652570605278015,8
25,0.2975116968154907,0.2872769236564636,8
26,0.2884947657585144,0.2988373935222626,8
27,0.279410719871521,0.3110387325286865,8
28,0.27024587988853455,0.32373690605163574,8
29,0.26096776127815247,0.3367566168308258,8
30,0.2516087591648102,0.34994733333587646,8
31,0.24221009016036987,0.36310744285583496,8
32,0.23280960321426392,0.37608879804611206,8
33,0.22349119186401367,0.38869255781173706,8
34,0.2142910212278366,0.400761216878891,8
35,0.20532573759555817,0.41215193271636963,8
36,0.19673947989940643,0.422921359539032,8
37,0.18865518271923065,0.43313559889793396,8
38,0.1811520904302597,0.4428583085536957,8
39,0.1742326319217682,0.4521276354789734,8
40,0.16785335540771484,0.4609692096710205,8
41,0.16202449798583984,0.4694562554359436,8
42,0.15680202841758728,0.4775817394256592,8
43,0.15226638317108154,0.48519381880760193,8
44,0.1484517604112625,0.4920785427093506,8
45,0.14535611867904663,0.49817442893981934,8
46,0.14286890625953674,0.5034229159355164,8
47,0.14095526933670044,0.5076202154159546,8
48,0.13963018357753754,0.5106899738311768,8
49,0.13886620104312897,0.5130469799041748,8
50,0.13855907320976257,0.5147095322608948,8
51,0.13862457871437073,0.5157579779624939,8
52,0.13892659544944763,0.5165355205535889,8
53,0.13935810327529907,0.5170685052871704,8
54,0.13986970484256744,0.5171398520469666,8
55,0.1404009610414505,0.517012894153595,8
56,0.14089107513427734,0.5164796113967896,8
57,0.1412748396396637,0.5154739618301392,8
58,0.14147545397281647,0.5143320560455322,8
59,0.1414923518896103,0.5129265785217285,8
60,0.1413441002368927,0.5114594101905823,8
61,0.14101152122020721,0.5101186037063599,8
62,0.14046956598758698,0.5089631080627441,8
63,0.1397830843925476,0.5079033970832825,8
64,0.13893169164657593,0.5072708129882812,8
65,0.1380164921283722,0.5066379308700562,8
66,0.13709431886672974,0.5061963200569153,8
67,0.1362057775259018,0.5059281587600708,8
68,0.13544364273548126,0.5056632161140442,8
69,0.1348756104707718,0.5056303143501282,8
70,0.13454078137874603,0.505854606628418,8
71,0.1344526708126068,0.5062182545661926,8
72,0.13456957042217255,0.5069265961647034,8
73,0.13481082022190094,0.5078124403953552,8
74,0.13509097695350647,0.5087723135948181,8
75,0.13531914353370667,0.5098108649253845,8
76,0.13542146980762482,0.5107672810554504,8
77,0.13538463413715363,0.5116060376167297,8
78,0.1352234035730362,0.5123682022094727,8
79,0.13498389720916748,0.5129758715629578,8
80,0.13471996784210205,0.5134799480438232,8
81,0.13447321951389313,0.513884425163269,8
82,0.13427332043647766,0.5141710638999939,8
83,0.13413093984127045,0.5142813324928284,8
84,0.13403089344501495,0.5142108201980591,8
85,0.13394849002361298,0.5138342976570129,8
86,0.1338600218296051,0.5131909847259521,8
87,0.13374030590057373,0.5122284889221191,8
88,0.1335642784833908,0.5109871625900269,8
89,0.1333087980747223,0.5094978213310242,8
90,0.13295233249664307,0.5077366232872009,8
91,0.13247741758823395,0.5057518482208252,8
92,0.13186493515968323,0.5034708976745605,8
93,0.131089448928833,0.5009315609931946,8
94,0.1301194131374359,0.49806272983551025,8
95,0.1290363371372223,0.494903564453125,8
96,0.128406822681427,0.49178528785705566,8
97,0.1278138905763626,0.48924633860588074,8
98,0.12688995897769928,0.48741912841796875,8
99,0.12547391653060913,0.4864211082458496,8
100,0.12363201379776001,0.4860929548740387,8
101,0.12173102051019669,0.4862997829914093,8
102,0.12012048065662384,0.486275315284729,8
103,0.11825278401374817,0.4853983223438263,8
104,0.11557245254516602,0.4831874668598175,8
105,0.11267450451850891,0.4803982973098755,8
106,0.10983259230852127,0.47695499658584595,8
107,0.1068599596619606,0.47437530755996704,8
108,0.10357870906591415,0.47124183177948,8
109,0.10075750946998596,0.4706892669200897,8
110,0.09773986041545868,0.4672359824180603,8
111,0.09440101683139801,0.46823087334632874,8
112,0.08802714198827744,0.46465256810188293,8
113,0.08365720510482788,0.46278390288352966,8
114,0.08123839646577835,0.4622505307197571,8
115,0.07605087757110596,0.45822378993034363,8
116,0.07065948098897934,0.4567367732524872,8
117,0.06744349747896194,0.45515182614326477,8
118,0.06359389424324036,0.45157721638679504,8
119,0.05859987437725067,0.4507705867290497,8
120,0.054414089769124985,0.44902560114860535,8
121,0.051281992346048355,0.44677090644836426,8
122,0.04765511676669121,0.4468582272529602,8
123,0.04321478679776192,0.4450001120567322,8
124,0.03969145938754082,0.44416573643684387,8
125,0.03715222701430321,0.4439576268196106,8
126,0.034421876072883606,0.4420402944087982,8
127,0.03131038323044777,0.4422595202922821,8
128,0.028073258697986603,0.4408789575099945,8
129,0.0254601389169693,0.4404405355453491,8
130,0.023521222174167633,0.4402826130390167,8
131,0.02194926328957081,0.43913534283638,8
132,0.020655911415815353,0.439834862947464,8
133,0.019287627190351486,0.4384014904499054,8
134,0.01772337406873703,0.4395145773887634,8
135,0.01573825441300869,0.43839138746261597,8
136,0.013832023367285728,0.4391368627548218,8
137,0.012452061288058758,0.4389022886753082,8
138,0.011687112040817738,0.4387246370315552,8
139,0.011368244886398315,0.4393223226070404,8
140,0.011295822449028492,0.4384048879146576,8
141,0.011187254451215267,0.4395650327205658,8
142,0.010598268359899521,0.43830880522727966,8
143,0.009338997304439545,0.4393899440765381,8
144,0.007932934910058975,0.4385465681552887,8
145,0.007218547631055117,0.4386027455329895,8
146,0.007311058230698109,0.4387836754322052,8
147,0.007663902826607227,0.43791499733924866,8
148,0.00764569453895092,0.43880176544189453,8
149,0.006974946707487106,0.43783268332481384,8
150,0.006084475666284561,0.4384363293647766,8
151,0.005587699357420206,0.438104510307312,8
152,0.005656846333295107,0.4377278685569763,8
153,0.005942097865045071,0.43812045454978943,8
154,0.005985122174024582,0.43719562888145447,8
155,0.005620843730866909,0.43781721591949463,8
156,0.005059252493083477,0.437129944562912,8
157,0.004688536748290062,0.4372488856315613,8
158,0.004649269860237837,0.4371645152568817,8
159,0.004781966097652912,0.43659117817878723,8
160,0.004854702856391668,0.4369596540927887,8
161,0.004708243999630213,0.43620267510414124,8
162,0.004374222829937935,0.43664318323135376,8
163,0.004026702605187893,0.43623772263526917,8
164,0.003807290457189083,0.4363308548927307,8
165,0.003729515476152301,0.43641144037246704,8
166,0.0037236856296658516,0.436095654964447,8
167,0.003696180647239089,0.4365459382534027,8
168,0.003569203894585371,0.4361265301704407,8
169,0.0033489244524389505,0.4367232322692871,8
170,0.0030836043879389763,0.4364832043647766,8
171,0.0028346795588731766,0.43695059418678284,8
172,0.0026391372084617615,0.43700435757637024,8
173,0.0025106542743742466,0.43723899126052856,8
174,0.002441687509417534,0.4376334249973297,8
175,0.002404989441856742,0.4377429485321045,8
176,0.00239051366224885,0.438443660736084,8
177,0.00238860328681767,0.43848085403442383,8
178,0.002393205650150776,0.43935856223106384,8
179,0.0023988576140254736,0.43930917978286743,8
180,0.0024131268728524446,0.44028136134147644,8
181,0.0024254240561276674,0.4401569664478302,8
182,0.0024342352990061045,0.44119372963905334,8
183,0.0024254219606518745,0.4409952163696289,8
184,0.0023953975178301334,0.4420188367366791,8
185,0.0023328126408159733,0.4417395293712616,8
186,0.0022383281029760838,0.44266632199287415,8
187,0.002108772052451968,0.44238805770874023,8
188,0.0019668617751449347,0.4431923031806946,8
189,0.0018213136354461312,0.44300925731658936,8
190,0.0016923376824706793,0.44363346695899963,8
191,0.001583525212481618,0.44354701042175293,8
192,0.0014994367957115173,0.4439537525177002,8
193,0.0014367768308147788,0.4439442753791809,8
194,0.0013913256116211414,0.44417423009872437,8
195,0.0013573280302807689,0.4442179799079895,8
196,0.001331664971075952,0.44429874420166016,8
197,0.001308773411437869,0.4443473517894745,8
198,0.0012900290312245488,0.44429707527160645,8
199,0.0012788858730345964,0.4443746507167816,8
