t,ce
1,1.9959713220596313
2,2.6543467044830322
3,2.6538186073303223
4,2.5491175651550293
5,2.58486008644104
6,2.5691285133361816
7,2.6818087100982666
8,2.4559245109558105
9,2.1244499683380127
10,2.286358594894409
11,2.6213104724884033
12,2.4121415615081787
13,2.4396142959594727
14,2.985429286956787
15,2.6465563774108887
16,3.040031671524048
17,2.5981574058532715
18,2.3599586486816406
19,2.6132123470306396
20,2.683485507965088
21,2.921686887741089
22,2.808419942855835
23,2.923726797103882
24,2.3047077655792236
25,2.391451358795166
26,2.4506676197052
27,2.3863890171051025
28,2.1671252250671387
29,2.331575393676758
30,2.0565240383148193
31,2.0975375175476074
32,2.037956953048706
33,2.1143136024475098
34,2.352510452270508
35,2.2132203578948975
36,2.091599225997925
37,2.340946912765503
38,2.1521286964416504
39,2.1365103721618652
40,2.902456045150757
41,2.79537296295166
42,2.8716230392456055
43,2.373969793319702
44,2.606269121170044
45,2.121581554412842
46,2.4443557262420654
47,2.330139636993408
48,2.5903685092926025
49,2.1348137855529785
50,2.647883176803589
51,2.4186270236968994
52,2.3825602531433105
53,2.424478054046631
54,2.1805622577667236
55,2.1287853717803955
56,2.153118848800659
57,2.5571064949035645
58,2.4834346771240234
59,2.363956928253174
60,1.9951602220535278
61,2.1394686698913574
62,2.122523307800293
63,2.2673628330230713
64,2.3373069763183594
65,1.9100338220596313
66,2.044194221496582
67,2.132237434387207
68,1.8796014785766602
69,1.8327271938323975
70,2.037954568862915
71,1.979009985923767
72,2.034264326095581
73,2.283712863922119
74,2.122445583343506
75,2.1525354385375977
76,1.5778391361236572
77,1.8717687129974365
78,1.7296137809753418
79,1.9717316627502441
80,1.8310554027557373
81,2.0927884578704834
82,1.9717282056808472
83,2.2247066497802734
84,1.7316144704818726
85,2.1557059288024902
86,2.1554486751556396
87,2.2586522102355957
88,2.2673256397247314
89,1.7157970666885376
90,1.8671869039535522
91,2.3678112030029297
92,2.501526117324829
93,2.4142372608184814
94,2.7678442001342773
95,2.7512083053588867
96,2.486433506011963
97,2.5033864974975586
98,2.179905891418457
99,2.2482590675354004
100,2.571338415145874
101,2.384228229522705
102,2.4303958415985107
103,2.5212574005126953
104,2.5472335815429688
105,2.7748918533325195
106,2.1663644313812256
107,2.1751341819763184
108,2.6327009201049805
109,2.7365198135375977
110,2.8370018005371094
111,2.013444662094116
112,1.8121883869171143
113,1.8937044143676758
114,2.1006698608398438
115,2.3209729194641113
116,2.478895664215088
117,2.4925618171691895
118,2.505323648452759
119,2.4119937419891357
120,2.3650803565979004
121,2.354793071746826
122,2.5211286544799805
123,2.809767961502075
124,2.665121078491211
125,2.53890061378479
126,2.615276575088501
127,2.435472249984741
128,2.7566330432891846
129,2.5580039024353027
130,2.6979081630706787
131,2.3779280185699463
132,2.4835071563720703
133,2.3163082599639893
134,2.4301252365112305
135,2.346200942993164
136,2.2091965675354004
137,2.2177960872650146
138,2.4383270740509033
139,2.4234001636505127
140,2.281561851501465
141,2.1507248878479004
142,2.322422742843628
143,2.1427011489868164
144,2.3483493328094482
145,2.294883966445923
146,2.2224667072296143
147,2.4041049480438232
148,2.6675291061401367
149,2.577049970626831
150,2.3604249954223633
151,2.5241031646728516
152,2.5279972553253174
153,2.56351375579834
154,2.2772042751312256
155,2.0999364852905273
156,2.404949903488159
157,2.6923317909240723
158,2.614035129547119
159,2.683584690093994
160,2.356656789779663
161,2.7056884765625
162,2.6238059997558594
163,1.664767861366272
164,2.2068216800689697
165,2.1473190784454346
166,2.4159018993377686
167,1.962358832359314
168,1.9087270498275757
169,2.0649666786193848
170,1.9451539516448975
171,2.2746949195861816
172,2.6895592212677
173,2.625980854034424
174,2.241705894470215
175,2.0334131717681885
176,2.2975385189056396
177,1.8549765348434448
178,2.0160984992980957
179,2.5264089107513428
180,2.022573232650757
181,2.3678104877471924
182,2.390085458755493
183,2.683541774749756
184,2.4857802391052246
185,2.7325832843780518
186,2.9015214443206787
187,2.7052783966064453
188,2.8719093799591064
189,2.8263800144195557
190,2.745724678039551
191,2.755476236343384
192,2.975564956665039
193,2.649540901184082
194,1.9829919338226318
195,2.218047618865967
196,2.6760902404785156
197,2.248152732849121
198,2.3930084705352783
199,2.1751549243927
200,2.1260361671447754
201,2.386215925216675
202,2.3486948013305664
203,2.7098805904388428
204,2.8309996128082275
205,2.3807778358459473
206,2.1283774375915527
207,2.4299705028533936
208,2.535905361175537
209,2.237359046936035
210,2.3687210083007812
211,2.3021562099456787
212,2.6038405895233154
213,2.8428609371185303
214,2.8388404846191406
215,2.8761019706726074
216,2.5069832801818848
217,2.840158462524414
218,2.628713369369507
219,2.447016954421997
220,2.244210958480835
221,2.451301336288452
222,1.7509292364120483
223,1.4228273630142212
224,1.7501777410507202
225,1.950872540473938
226,1.6393966674804688
227,1.8637876510620117
228,1.7287418842315674
229,2.2578535079956055
230,2.1241118907928467
231,2.0361649990081787
232,1.9139587879180908
233,2.0616183280944824
234,1.8582552671432495
235,2.1037192344665527
236,2.0434207916259766
237,2.132305860519409
238,2.3965814113616943
239,2.157531261444092
240,1.857844352722168
241,2.300856590270996
242,2.0533382892608643
243,2.272941827774048
244,2.1859614849090576
245,2.2267818450927734
246,2.5132477283477783
247,2.377007246017456
248,2.2496461868286133
249,2.1909594535827637
250,2.6726601123809814
251,2.5992307662963867
252,2.2974398136138916
253,2.4798266887664795
254,2.5581350326538086
255,2.2123141288757324
256,2.9255688190460205
257,2.70194149017334
258,2.5968003273010254
259,2.396872043609619
260,2.3324050903320312
261,2.5393009185791016
262,2.648599147796631
263,2.4630613327026367
264,2.378457546234131
265,1.9619501829147339
266,2.3671488761901855
267,1.7970494031906128
268,1.6963647603988647
269,1.971205711364746
270,1.913476824760437
271,2.335200548171997
272,2.4845383167266846
273,2.321382522583008
274,2.4666998386383057
275,2.469400644302368
276,2.072678327560425
277,2.2892184257507324
278,2.4606335163116455
279,2.2696781158447266
280,2.555119276046753
281,2.2740211486816406
282,2.5862791538238525
283,2.2990949153900146
284,2.460050344467163
285,2.646196126937866
286,2.44765567779541
287,2.7147209644317627
288,2.6047065258026123
289,2.6393232345581055
290,2.6560616493225098
291,2.5784013271331787
292,2.8336338996887207
293,2.55287766456604
294,2.700890302658081
295,2.5202858448028564
296,2.266573905944824
297,2.269047498703003
298,2.3447346687316895
299,2.265174388885498
300,2.485107898712158
301,2.5520124435424805
302,2.15954327583313
303,2.479008197784424
304,2.397724151611328
305,2.663989305496216
306,2.0051822662353516
307,2.393423557281494
308,2.229266881942749
309,2.721952199935913
310,2.598701000213623
311,2.536710739135742
312,2.5312249660491943
313,2.5286953449249268
314,2.174586534500122
315,2.524775266647339
316,2.6416077613830566
317,2.4027585983276367
318,2.0057554244995117
319,2.3494746685028076
320,2.378068447113037
321,2.2310798168182373
322,2.221893548965454
323,2.1735174655914307
324,1.9523404836654663
325,1.9698309898376465
326,1.8444212675094604
327,1.8498082160949707
328,1.8350144624710083
329,2.736722707748413
330,2.4276278018951416
331,2.578251600265503
332,2.322479248046875
333,2.5253477096557617
334,2.3426504135131836
335,2.371145248413086
336,2.021928310394287
337,2.1104934215545654
338,2.328355073928833
339,2.2992258071899414
340,2.3589375019073486
341,2.140007257461548
342,2.3488101959228516
343,2.541872501373291
344,2.1498019695281982
345,2.161485433578491
346,2.3908491134643555
347,2.62601900100708
348,2.746497392654419
349,2.6616265773773193
350,2.7241287231445312
351,2.498004913330078
352,2.7461986541748047
353,2.719243049621582
354,2.4595065116882324
355,2.1040565967559814
356,2.416677236557007
357,2.5118701457977295
358,2.621516227722168
359,2.4865379333496094
360,2.980015993118286
361,2.980180025100708
362,2.688917398452759
363,2.226372003555298
364,2.4116275310516357
365,2.4547128677368164
366,1.975409984588623
367,2.347896099090576
368,2.566910982131958
369,2.6642210483551025
370,2.651358127593994
371,2.2303473949432373
372,1.8670984506607056
373,2.356623411178589
374,2.1045823097229004
375,2.4169209003448486
376,2.7758970260620117
377,2.8254218101501465
378,2.1885499954223633
379,2.3643088340759277
380,2.16793155670166
381,2.314561128616333
382,2.346898078918457
383,2.2752811908721924
384,2.1958796977996826
385,2.191118001937866
386,2.165890693664551
387,2.0941476821899414
388,1.992936611175537
389,1.7472552061080933
390,1.6151108741760254
391,2.372495412826538
392,2.2357921600341797
393,2.4909005165100098
394,2.152462959289551
395,2.194476366043091
396,2.2828798294067383
397,2.537466526031494
398,2.191380500793457
399,2.045872926712036
400,2.5148842334747314
401,2.5621376037597656
402,2.579967975616455
403,2.680053949356079
404,2.516751289367676
405,2.7431812286376953
406,2.7249011993408203
407,2.605048656463623
408,2.6021499633789062
409,2.4259963035583496
410,2.5624642372131348
411,2.586168050765991
412,2.3488688468933105
413,2.588224172592163
414,2.448913812637329
415,2.6671698093414307
416,2.485489845275879
417,2.4988467693328857
418,2.421616315841675
419,2.7556984424591064
420,2.773329257965088
421,2.398249626159668
422,2.3715953826904297
423,2.6570746898651123
424,2.669534921646118
425,2.6204416751861572
426,2.6921470165252686
427,1.9151564836502075
428,2.058865547180176
429,2.431220293045044
430,2.562411069869995
431,2.365577459335327
432,2.396075963973999
433,2.172412395477295
434,2.4608404636383057
435,2.210852861404419
436,2.3254284858703613
437,2.389829635620117
438,2.256927490234375
439,2.3605780601501465
440,2.083864688873291
441,2.0543689727783203
442,2.264958620071411
443,2.2643682956695557
444,1.8467631340026855
445,1.688438057899475
446,2.076744318008423
447,2.5062756538391113
448,2.0984103679656982
449,2.392402410507202
450,3.0033090114593506
451,2.823594570159912
452,2.3779358863830566
453,2.408155679702759
454,2.2628443241119385
455,2.109572649002075
456,2.1284308433532715
457,2.078583240509033
458,1.9307864904403687
459,1.8932727575302124
460,1.9057730436325073
461,2.225984573364258
462,2.265113353729248
463,2.358792543411255
464,2.224240303039551
465,2.3544235229492188
466,2.4748966693878174
467,2.467251777648926
468,2.252290725708008
469,2.4530656337738037
470,2.1274633407592773
471,2.2530739307403564
472,2.2898831367492676
473,2.304102897644043
474,2.3563053607940674
475,2.18757963180542
476,2.0909039974212646
477,2.2314252853393555
478,2.282003879547119
479,2.327296495437622
480,1.9845093488693237
481,2.717489242553711
482,3.0308635234832764
483,2.4618024826049805
484,2.9143857955932617
485,2.8061509132385254
486,2.7917354106903076
