gate,seed,edge_first10,edge_last10,drift_final,drift_slope,plast_first,plast_mid,plast_last,held_final,update_rate
none,0,0.016488323011073613,-0.025569431860882785,0.5636576626767753,0.015943059945747715,0.0131337731243202,-0.0641486809480714,-0.075634618044274,7.873335487500071,1.0
none,1,0.015817855339805842,-0.0327201369231751,0.4964160492837828,0.01113733608330457,-0.0924485767844873,-0.0444866797576727,-0.0562619484442809,7.904809920922503,1.0
none,2,0.017232752835621645,-0.030815663588033226,0.6659971636389519,-0.0209008946645993,-0.0652802073470649,-0.0626266190846189,0.0062527754689122,7.863036995602215,1.0
ent,0,0.023157601674420936,-0.04328468036331934,0.3763573669191682,0.021420737504033283,0.0017859864547589,-0.0642531685831716,-0.1176126720067272,8.193487518767824,0.5009
ent,1,0.013628894513830425,-0.061911997048892164,0.4352395886076958,0.004818317717992462,0.0376701676143316,-0.0361640342913499,-0.0893157508527251,7.962599994812308,0.502
ent,2,0.020848269521858254,-0.03513673184213428,0.403661597676356,-0.0389492008365043,-0.0031041072986762,0.0062465536482644,-0.1620655078407827,8.084114288830506,0.50392
err,0,0.018974585809737654,-0.022251765000619983,0.435739282892217,-0.03326856013708281,-0.0700817826918774,-0.0254783873933676,-0.060834897547699,7.906218104326626,0.50172
err,1,0.018789270805242952,-0.023743004757934782,0.6918566260439145,-0.009431109435272303,-0.091547767418222,-0.0270012883983867,-0.0278467970881658,7.918792875257395,0.50044
err,2,0.019352759570503975,-0.023069888486372037,0.5711656002149724,0.006052679121281935,-0.0466895024815907,-0.0145609430537023,-0.0626140758985978,7.958605936605068,0.50074
rand,0,0.020827335781902545,-0.028285582052640867,0.7794256593661301,0.02336191076923889,0.017326126230108,-0.0040725720131357,-0.0548311446538401,7.981890402626277,0.49818
rand,1,0.016515022237396426,-0.030147720117652543,0.6777666997934149,0.01418015202750033,-0.0491002516665698,0.0268086143908113,-0.0623476261505725,8.010637801940675,0.49942
rand,2,0.017396035968702872,-0.028218457206218295,0.2637144497853779,0.027118914677094975,-0.0830354658700332,-0.0906780193153919,-0.0902188325548545,8.006210036883544,0.4977
learn_self,0,0.02076432259829375,-0.07094184565674566,0.2789677572906665,0.03394528948812918,0.0016726816316981,-0.0114492234877081,-0.0095791279066345,8.998905006528616,0.5026
learn_self,1,0.014278728275520791,-0.030676736943814786,0.6821906375428752,0.009857985353896124,-0.0651101719830294,-0.0682413619156238,-0.04409178262959,8.0348953806581,0.49664
learn_self,2,0.014007420442953333,-0.047163757371947,0.4650990069828643,0.034350570605703595,-0.0913918036432897,-0.0178769142578218,-0.0257361684700372,8.731903204171658,0.5013
learn_outer,0,0.014785716091248235,-0.028497106318812193,0.5612644672610889,0.01288551635830522,-0.0745818378861256,-0.0371687187235824,-0.0406948711599851,8.081405666805722,0.49858
learn_outer,1,0.01352922618771224,-0.034916362352317876,0.4127449567096749,-0.020442476703392408,-0.0402397363411017,-0.0173740267454347,-0.0606865907064928,7.926968522149423,0.49626
learn_outer,2,0.019298396413254038,-0.038834654075243336,0.2514643971293223,0.021393672880611277,-0.0315966894120452,-0.0345544372150223,-0.0304052006357144,8.482233991443081,0.4998
