config,gravity,vlr,qclip,gate,edge_first10,edge_last10,drift_final,drift_slope,plast_first,plast_last,held_final,updates,rollbacks
abl_0000,False,False,False,False,0.05484384310622492,-0.023955824125795555,0.3233259261900844,-0.011289519815685612,0.0131337731243202,-0.0110910348102828,7.995860400309994,20000,0
abl_0001,False,False,False,True,0.043462960335844625,-0.020872859350225204,0.403137214389121,0.00023297393146026589,0.0717328144012798,-0.0823675190176034,8.068933867155351,939,1061
abl_0010,False,False,True,False,0.058623180193662416,-0.028400549109349082,0.4798245843586988,0.05077269778999095,-0.0552542254007343,-0.0890015845191039,7.981535117612452,20000,0
abl_0011,False,False,True,True,0.04618005332893127,-0.019879588415119054,0.4272123973050993,0.017326101252763716,0.055277827045576,-0.0732750113562863,8.08224716720315,955,1045
abl_0100,False,True,False,False,0.06051460296283795,-0.019520006268238355,0.430075269916538,0.026094736528616498,-0.0456681276891858,-0.022071078725583,8.049676191933827,20000,0
abl_0101,False,True,False,True,0.04723610908963405,-0.015481496369369685,0.4109084083911323,-0.0322738966400193,0.0484082944663793,-0.069684573117376,8.102061296496231,955,1045
abl_0110,False,True,True,False,0.0627264095214155,-0.015528897257439445,0.3179686870921332,0.025650969972221816,0.0005854029080502,-0.0408396758443258,7.9643061811934786,20000,0
abl_0111,False,True,True,True,0.05026838503574693,-0.023630665127764683,0.3951191424595758,0.014829629447824011,0.0298321601665686,-0.0880442202171693,8.133964663265488,950,1050
abl_1000,True,False,False,False,0.05171071243750791,-0.024679066949034878,0.2729373307779211,-0.01134213024347492,-0.1329154024893857,-0.0072394151324576,7.936295265209083,20000,0
abl_1001,True,False,False,True,0.04574972198311644,-0.025450462419455366,0.4669986043140078,0.03909804063512252,0.0665174916899002,-0.0694876058861472,8.038333666722792,978,1022
abl_1010,True,False,True,False,0.05913703921366942,-0.02773238341684303,0.1771251914293969,-0.09200327410191884,-0.032049933912531,-0.0118083857127539,7.932207100798564,20000,0
abl_1011,True,False,True,True,0.04623284095729363,-0.02409876701728697,0.4448255655599875,0.004136917718436349,0.0552888302417541,-0.0684831912253345,8.083253694420819,928,1072
abl_1100,True,True,False,False,0.05901324778494943,-0.027825251661970585,0.3224216701561277,-0.0003582404878877644,-0.0554663843576814,-0.0367581626087125,7.984850656455478,20000,0
abl_1101,True,True,False,True,0.04722188861334453,-0.011604431773309276,0.3308546280520901,0.003983193836351331,0.0484905146819153,-0.0767343189969265,8.057128994076038,1009,991
abl_1110,True,True,True,False,0.06393750411619448,-0.02136951545828203,0.2943174704638518,0.032993411519395326,0.0354019269322459,-0.0609065313245341,7.916175631719852,20000,0
abl_1111,True,True,True,True,0.050195903719459145,-0.010800885726051312,0.3391932495721855,0.027942663219698825,0.0258219830748804,-0.0545499750452408,8.054261482592096,988,1012
