t,cka,drift,heldout_dom,heldout_off
100,,,2.326347202062607,1.3213863223791122
200,,,2.3028971403837204,1.324317492544651
300,1.0,0.0,2.2870713770389557,1.3203781098127365
400,0.9998449236462726,0.00015507635372735695,2.276024393737316,1.319980911910534
500,0.9997815435965209,0.00021845640347906148,2.266417235136032,1.322330430150032
600,0.9996754123642382,0.00032458763576181937,2.2580845057964325,1.3292883485555649
700,0.9996458003476876,0.0003541996523124258,2.2511843368411064,1.3275799080729485
800,0.9995868614131103,0.0004131385868897386,2.2449791207909584,1.3282850682735443
900,0.9994588067966447,0.0005411932033553279,2.2413352206349373,1.331922434270382
1000,0.9991024701060723,0.0008975298939276621,2.240123711526394,1.3376786559820175
1100,0.9992155800009072,0.0007844199990928447,2.232992984354496,1.3396545201539993
1200,0.9992234840847521,0.0007765159152478551,2.2295208126306534,1.3374308869242668
1300,0.9991408436374194,0.0008591563625806042,2.2256905138492584,1.338922567665577
1400,0.9991078605715014,0.0008921394284986395,2.2231716215610504,1.3363494575023651
1500,0.9986431029678474,0.001356897032152582,2.2203828543424606,1.3348522633314133
1600,0.998303559618054,0.0016964403819460516,2.2162870466709137,1.338799811899662
1700,0.9986039916583697,0.0013960083416303393,2.2138757780194283,1.3382479697465897
1800,0.9983350097195602,0.0016649902804397598,2.211417078971863,1.3432064205408096
1900,0.9983149177897407,0.0016850822102593144,2.2093690410256386,1.3386002480983734
2000,0.9982203839286804,0.0017796160713196008,2.206222891807556,1.34152040630579
2100,0.9982199060321276,0.001780093967872376,2.2060389146208763,1.3394527807831764
2200,0.9978275168202719,0.0021724831797280686,2.2022539526224136,1.3458615392446518
2300,0.9973527836466133,0.0026472163533867166,2.2021629139781,1.3501874431967735
2400,0.9971707401343455,0.002829259865654521,2.198278568685055,1.347898505628109
2500,0.9983119174480581,0.0016880825519418607,2.1975940093398094,1.351007342338562
2600,0.9980495425086865,0.0019504574913135064,2.1956405490636826,1.3546006679534912
2700,0.9978440274959225,0.002155972504077508,2.1932089254260063,1.3500758782029152
2800,0.9979974602315955,0.0020025397684044766,2.193015940487385,1.3504709303379059
2900,0.9980130655565456,0.0019869344434544356,2.192547544836998,1.347383476793766
3000,0.9976118800214079,0.002388119978592118,2.1898669973015785,1.3496391400694847
3100,0.9977427504306514,0.002257249569348585,2.1886070743203163,1.3496109768748283
3200,0.9977725902567929,0.0022274097432071205,2.1891550719738007,1.349997729063034
3300,0.9975991053575769,0.0024008946424231015,2.1888690441846848,1.3492704778909683
3400,0.9975612523210006,0.002438747678999431,2.1877773329615593,1.350018598139286
3500,0.9976864728138002,0.0023135271861998152,2.185255914926529,1.3496840372681618
3600,0.99773019101743,0.0022698089825700096,2.184674806892872,1.3506474271416664
3700,0.9971658672710471,0.0028341327289529428,2.1834683567285538,1.3505936935544014
3800,0.997275858393235,0.0027241416067650404,2.1822248324751854,1.3490154147148132
3900,0.9976059961291869,0.0023940038708131217,2.1835213527083397,1.3520543053746223
4000,0.9976551402501891,0.0023448597498109125,2.1852102130651474,1.3520216345787048
4100,0.9974875130307459,0.002512486969254102,2.182629242539406,1.3529167845845222
4200,0.9974155563499478,0.0025844436500521706,2.181331269443035,1.356284111738205
4300,0.9976378792675512,0.0023621207324487914,2.1813760325312614,1.3504537492990494
4400,0.9968777685984473,0.0031222314015526553,2.179758735001087,1.3572132140398026
4500,0.997020353200078,0.00297964679992202,2.1804137602448463,1.3545583710074425
4600,0.99680139299492,0.003198607005080012,2.1795256435871124,1.3550719171762466
4700,0.9972446710355164,0.0027553289644836054,2.181855469942093,1.3474600613117218
4800,0.9969532745736736,0.0030467254263264465,2.179040066897869,1.3495767340064049
4900,0.9971198972329779,0.002880102767022108,2.1765356957912445,1.353888861835003
5000,0.9972558045405359,0.0027441954594641382,2.1760841831564903,1.350529819726944
