t,loss,entropy,gate_open,updated
53,3.535252571105957,3.235722541809082,0,0
54,3.0489141941070557,3.080721855163574,1,1
55,3.7473948001861572,3.4314427375793457,0,0
56,3.5255019664764404,3.3349785804748535,0,0
57,3.9361941814422607,3.5132603645324707,1,1
58,3.525650978088379,3.169066905975342,1,1
59,3.4483063220977783,3.1635079383850098,1,1
60,2.8661978244781494,2.5958871841430664,0,0
61,3.0820271968841553,2.756561279296875,1,1
62,3.2881758213043213,2.8589179515838623,1,1
63,3.1406774520874023,3.006214141845703,1,1
64,3.282172203063965,3.0520853996276855,1,1
65,3.0128695964813232,2.834925889968872,1,1
66,3.119513511657715,2.9965600967407227,0,0
67,3.0825533866882324,3.0759854316711426,0,0
68,3.6513242721557617,3.3466923236846924,1,1
69,3.5768656730651855,3.4520413875579834,1,1
70,3.565361499786377,3.243278980255127,0,0
71,3.5698840618133545,3.398104667663574,0,0
72,3.730058431625366,3.608462333679199,1,1
73,3.975984811782837,3.56856107711792,1,1
74,3.7117481231689453,3.316147804260254,0,0
75,3.4540531635284424,3.3060686588287354,0,0
76,3.504523515701294,3.3200063705444336,1,1
77,3.70774507522583,3.3906381130218506,0,0
78,3.488163471221924,3.4447379112243652,1,1
79,3.8691680431365967,3.285693645477295,1,1
80,3.4762606620788574,3.2643585205078125,0,0
81,3.51010799407959,3.2684860229492188,1,1
82,3.4921889305114746,3.310790538787842,1,1
83,3.7487568855285645,3.4467129707336426,0,0
84,3.295605421066284,3.0554914474487305,1,1
85,3.5648653507232666,3.3298912048339844,0,0
86,3.6276161670684814,3.312804698944092,0,0
87,3.71209454536438,3.232893228530884,1,1
88,3.7858049869537354,3.4465065002441406,0,0
89,3.459458589553833,3.029707908630371,1,1
90,3.3258540630340576,3.1027021408081055,0,0
91,3.5236563682556152,3.238145589828491,0,0
92,3.6581945419311523,3.4167776107788086,1,1
93,3.8314881324768066,3.2713818550109863,1,1
94,4.099836349487305,3.6815004348754883,1,1
95,4.132356643676758,3.7606139183044434,0,0
96,3.5847837924957275,3.186406135559082,0,0
97,3.514652967453003,3.202857732772827,1,1
98,3.2633535861968994,3.095750331878662,1,1
99,3.509331464767456,3.202501058578491,1,1
100,3.658205032348633,3.2277088165283203,1,1
101,3.622999429702759,3.3622066974639893,1,1
102,3.717571973800659,3.432290554046631,1,1
103,3.440613031387329,3.25797700881958,1,1
104,3.410571575164795,3.1967527866363525,0,0
105,3.6880686283111572,3.279937267303467,1,1
106,2.965263605117798,2.8182854652404785,0,0
107,3.126739501953125,3.073646068572998,0,0
108,3.4765796661376953,3.2997653484344482,1,1
109,3.5029172897338867,3.1997275352478027,1,1
110,3.8670742511749268,3.241206169128418,0,0
111,2.90783429145813,2.940457344055176,1,1
112,2.7499139308929443,2.6895337104797363,1,1
113,2.983133316040039,2.964224100112915,1,1
114,2.9215197563171387,2.9135565757751465,0,0
115,3.310023069381714,3.051820755004883,1,1
116,3.509506940841675,3.148303747177124,1,1
117,3.6218645572662354,3.2572171688079834,1,1
118,3.5341808795928955,3.1261754035949707,0,0
119,3.4914793968200684,3.306795597076416,0,0
120,3.6638987064361572,3.3268864154815674,1,1
121,3.738961935043335,3.377255439758301,0,0
122,3.744536876678467,3.4706008434295654,0,0
123,4.175516128540039,3.6016414165496826,0,0
124,3.8711299896240234,3.534392833709717,1,1
125,3.6648707389831543,3.340318202972412,1,1
126,3.837928056716919,3.4355547428131104,1,1
127,3.629925012588501,3.301931858062744,1,1
128,3.793511390686035,3.3341028690338135,1,1
129,3.664625883102417,3.1913516521453857,0,0
130,3.5939393043518066,3.0221686363220215,0,0
131,3.379422903060913,2.986328363418579,1,1
132,3.2455034255981445,2.890626907348633,0,0
133,3.2437210083007812,2.996217727661133,1,1
134,3.162858486175537,2.91375732421875,1,1
135,3.451403856277466,3.014866828918457,1,1
136,3.2003960609436035,2.9472830295562744,0,0
137,3.4236605167388916,2.9735357761383057,0,0
138,3.365725517272949,3.0742130279541016,1,1
139,3.363482713699341,3.15785551071167,0,0
140,3.244598627090454,3.051135540008545,0,0
141,3.4306230545043945,3.137967348098755,1,1
142,3.233374834060669,3.209500789642334,0,0
143,3.520352602005005,3.187347888946533,0,0
144,3.3202767372131348,2.9119815826416016,1,1
145,3.3995845317840576,3.1113624572753906,1,1
146,3.222198486328125,2.9365293979644775,1,1
147,3.4285595417022705,2.9183919429779053,1,1
148,3.6497037410736084,3.0980725288391113,1,1
149,3.490691661834717,3.2253355979919434,0,0
150,3.2425529956817627,3.084789991378784,0,0
151,3.4333910942077637,3.0234649181365967,1,1
152,3.3367197513580322,3.115100145339966,1,1
153,3.684767007827759,3.1024134159088135,1,1
154,3.225375175476074,2.9216604232788086,0,0
155,3.209238052368164,2.8834710121154785,1,1
156,3.649984121322632,3.167994499206543,1,1
157,3.951144218444824,3.528390884399414,0,0
158,3.747551202774048,3.438839912414551,1,1
159,3.826058864593506,3.3250393867492676,1,1
160,3.568328857421875,2.987438201904297,1,1
161,3.6504359245300293,3.2380337715148926,0,0
162,3.5673351287841797,3.0722603797912598,1,1
163,3.110293388366699,2.9708032608032227,0,0
164,3.3107428550720215,2.892476797103882,0,0
165,3.1407246589660645,3.0561141967773438,1,1
166,3.524289608001709,3.126169204711914,1,1
167,2.758575439453125,2.7656922340393066,0,0
168,3.1878814697265625,3.029409170150757,1,1
169,3.270862579345703,3.1105759143829346,1,1
170,2.9845831394195557,2.9341347217559814,0,0
171,3.298372507095337,3.168529987335205,1,1
172,3.7645480632781982,3.2786669731140137,0,0
173,3.7199625968933105,3.3155808448791504,1,1
174,3.1894168853759766,2.7444303035736084,0,0
175,3.108769655227661,2.9211056232452393,0,0
176,3.0519251823425293,2.755960702896118,1,1
177,2.6743886470794678,2.302628755569458,0,0
178,3.0522327423095703,2.7729809284210205,0,0
179,3.53940486907959,3.11376953125,0,0
180,3.4307260513305664,3.2576913833618164,1,1
181,3.5160059928894043,3.274078845977783,0,0
182,3.4861867427825928,3.0549445152282715,0,0
183,3.7163712978363037,3.3668293952941895,1,1
184,3.4848523139953613,3.1574440002441406,1,1
185,3.5654962062835693,3.1978888511657715,1,1
186,3.773336410522461,3.228194236755371,1,1
187,3.614896535873413,3.1162784099578857,1,1
188,3.8576290607452393,3.1586356163024902,0,0
189,3.5357301235198975,3.0882856845855713,1,1
190,3.4325592517852783,2.967592477798462,1,1
191,3.448596239089966,3.049670696258545,0,0
192,3.70739483833313,3.1962850093841553,1,1
193,3.6266677379608154,3.2549939155578613,1,1
194,3.1185269355773926,2.902116298675537,1,1
195,3.1635782718658447,2.9124646186828613,0,0
196,3.6127336025238037,3.218562126159668,0,0
197,3.455665349960327,3.142904758453369,1,1
198,3.4893040657043457,3.2173914909362793,0,0
199,3.3047049045562744,3.0314183235168457,1,1
200,3.381784677505493,3.029613733291626,0,0
201,3.4941818714141846,3.346592426300049,1,1
202,3.538508176803589,3.2387442588806152,1,1
203,3.5898096561431885,3.1317739486694336,1,1
204,3.6479525566101074,3.131577491760254,0,0
205,3.4697163105010986,3.135233163833618,0,0
206,3.2724380493164062,2.883366107940674,0,0
207,3.2672150135040283,3.085252523422241,1,1
208,3.3199806213378906,3.0899791717529297,0,0
209,3.4604990482330322,3.1770241260528564,1,1
210,3.2565042972564697,3.0886449813842773,1,1
211,3.2914483547210693,3.0149476528167725,0,0
212,3.4887194633483887,3.0585267543792725,0,0
213,4.100347995758057,3.3360979557037354,0,0
214,3.7245230674743652,3.2339329719543457,1,1
215,4.001865863800049,3.368785858154297,1,1
216,3.6553027629852295,3.2586426734924316,1,1
217,3.819139242172241,3.3224000930786133,1,1
218,3.7099862098693848,3.200745105743408,1,1
219,3.440322160720825,2.959825277328491,1,1
220,2.987614631652832,2.7983648777008057,1,1
221,3.12880277633667,2.8006598949432373,1,1
222,3.022209405899048,2.8819985389709473,0,0
223,2.768259048461914,2.650861978530884,1,1
224,2.8746273517608643,2.602558135986328,0,0
225,3.0356850624084473,2.9910764694213867,0,0
226,2.7406702041625977,2.7800488471984863,1,1
227,2.8274340629577637,2.744380474090576,1,1
228,2.8689560890197754,2.748136520385742,0,0
229,3.3526246547698975,3.06748104095459,1,1
230,3.100966215133667,2.8508012294769287,1,1
231,3.0649237632751465,2.795363426208496,1,1
232,2.976067304611206,2.600153923034668,1,1
233,3.3081932067871094,2.8596882820129395,0,0
234,2.6964688301086426,2.5665135383605957,1,1
235,3.148435115814209,2.706465721130371,1,1
236,3.0285072326660156,2.633441686630249,1,1
237,3.26993989944458,2.602625608444214,1,1
238,3.373351573944092,2.9794721603393555,1,1
239,3.0367045402526855,2.735090732574463,0,0
240,2.8442575931549072,2.6386823654174805,0,0
241,3.446296453475952,3.0755233764648438,1,1
242,2.990903377532959,2.6762332916259766,1,1
243,3.6191468238830566,3.344639301300049,1,1
244,3.0198187828063965,2.938425064086914,0,0
245,3.1534645557403564,2.8731818199157715,0,0
246,3.6099629402160645,3.2821407318115234,1,1
247,3.591203451156616,3.145306348800659,1,1
248,3.3295555114746094,2.8655614852905273,1,1
249,3.343406915664673,3.1079115867614746,0,0
250,3.564894914627075,3.365427017211914,0,0
251,3.3701560497283936,3.1130504608154297,1,1
252,3.724595785140991,3.2763705253601074,0,0
253,3.3930835723876953,3.034933090209961,1,1
254,3.5202064514160156,3.206721305847168,1,1
255,3.68153977394104,2.996439218521118,0,0
256,4.069879531860352,3.1577067375183105,0,0
257,3.5582547187805176,3.1196181774139404,1,1
258,3.5573556423187256,3.136699676513672,1,1
259,3.763960599899292,3.1030819416046143,0,0
260,3.8246827125549316,2.9409847259521484,1,1
261,3.772524356842041,3.103975772857666,1,1
262,3.6679933071136475,3.0504000186920166,0,0
263,3.833223819732666,3.2028427124023438,0,0
264,3.600897789001465,2.9986190795898438,0,0
265,3.172184705734253,2.5941388607025146,0,0
266,3.503269672393799,3.087031841278076,1,1
267,3.067131996154785,2.8160362243652344,0,0
268,2.700709342956543,2.479104995727539,0,0
269,3.159367322921753,3.0915446281433105,1,1
270,3.069896697998047,3.0173542499542236,0,0
271,3.4419922828674316,3.10945463180542,0,0
272,3.760040283203125,3.354421615600586,1,1
273,3.5654726028442383,3.274352550506592,0,0
274,3.5901472568511963,3.238600730895996,1,1
275,3.4744935035705566,3.236414909362793,0,0
276,3.0812106132507324,3.143527030944824,1,1
277,3.5311169624328613,3.0532171726226807,1,1
278,3.538457155227661,3.077899932861328,0,0
279,3.1773455142974854,3.0725231170654297,1,1
280,3.661196231842041,3.2284629344940186,1,1
281,3.1846723556518555,3.0806846618652344,0,0
282,3.480367660522461,3.2599291801452637,0,0
283,3.1273703575134277,2.852487564086914,0,0
284,3.4684040546417236,3.206461191177368,0,0
285,3.6492412090301514,3.2377161979675293,0,0
286,3.3694710731506348,3.038947105407715,0,0
287,3.6963095664978027,3.221465587615967,0,0
288,3.6234729290008545,3.3056817054748535,0,0
289,3.711965799331665,3.265397071838379,0,0
290,3.632399559020996,3.431340456008911,1,1
291,3.572944164276123,3.1132497787475586,0,0
292,3.730515718460083,3.3623952865600586,0,0
293,3.502753734588623,3.0588345527648926,0,0
294,3.6262662410736084,3.0539438724517822,1,1
295,3.4647715091705322,2.9824156761169434,1,1
296,3.339967966079712,2.9205498695373535,0,0
297,2.9503655433654785,2.720505714416504,0,0
298,3.2088847160339355,2.8986196517944336,1,1
299,2.835988759994507,2.7536652088165283,1,1
300,3.1601948738098145,2.8065664768218994,0,0
301,3.47377610206604,3.0348219871520996,1,1
302,3.2764971256256104,2.8513240814208984,1,1
303,3.7534265518188477,3.3244547843933105,0,0
304,3.686042547225952,3.0875391960144043,1,1
305,3.7493815422058105,3.360135555267334,1,1
306,2.5670318603515625,2.4994425773620605,1,1
307,3.487942695617676,2.9171817302703857,0,0
308,3.5274293422698975,2.9843876361846924,1,1
309,3.647648572921753,3.1549899578094482,1,1
310,3.566296339035034,3.0326294898986816,1,1
311,3.449573516845703,3.042137622833252,1,1
312,3.4744274616241455,2.96834659576416,0,0
313,3.3926520347595215,2.8343186378479004,1,1
