step,loss,entropy,neurons,activation_ancestry,entropy_alignment,phase_alignment,bifractal_consistency,attractor_density
0,0.5524128079414368,0.04379473254084587,8,,,,,
1,0.5491617321968079,0.05165565758943558,8,,,,,
2,0.5445035696029663,0.06957326084375381,8,,,,,
3,0.5383481383323669,0.08960574120283127,8,,,,,
4,0.5311753153800964,0.10864037275314331,8,,,,,
5,0.522660493850708,0.12755905091762543,8,,,,,
6,0.5128697156906128,0.14853213727474213,8,,,,,
7,0.5021629929542542,0.17117978632450104,8,,,,,
8,0.49084073305130005,0.19501365721225739,8,,,,,
9,0.47890713810920715,0.21976152062416077,8,,,,,
10,0.4664960503578186,0.24519027769565582,8,0.9986937046051025,0.0,1.0161733627319336,137.2523956298828,8.052370071411133
11,0.45389053225517273,0.2710617780685425,8,,,,,
12,0.44129735231399536,0.297059565782547,8,,,,,
13,0.4286873936653137,0.32293078303337097,8,,,,,
14,0.4159116744995117,0.3484199643135071,8,,,,,
15,0.40281954407691956,0.3731667995452881,8,,,,,
16,0.38911113142967224,0.39697080850601196,8,,,,,
17,0.37472304701805115,0.41996869444847107,8,,,,,
18,0.36000484228134155,0.4424140155315399,8,,,,,
19,0.3450765609741211,0.46453794836997986,8,,,,,
20,0.3296419382095337,0.4871143102645874,8,0.9993003606796265,0.0,1.0518410205841064,288.95318603515625,15.317852973937988
21,0.31311479210853577,0.5099278092384338,8,,,,,
22,0.2960647940635681,0.532568097114563,8,,,,,
23,0.2793026864528656,0.5549837350845337,8,,,,,
24,0.2630614638328552,0.5775489211082458,8,,,,,
25,0.24701917171478271,0.6006751656532288,8,,,,,
26,0.23111481964588165,0.6245482563972473,8,,,,,
27,0.21562358736991882,0.6487463116645813,8,,,,,
28,0.20050020515918732,0.6726985573768616,8,,,,,
29,0.18588998913764954,0.6963595151901245,8,,,,,
30,0.17209745943546295,0.7199312448501587,8,0.9995675086975098,0.0,1.0795996189117432,419.1107482910156,20.928314208984375
31,0.1591387242078781,0.7437119483947754,8,,,,,
32,0.14721450209617615,0.7671849727630615,8,,,,,
33,0.13638074696063995,0.7894498109817505,8,,,,,
34,0.12678223848342896,0.8106111288070679,8,,,,,
35,0.11820356547832489,0.8311581015586853,8,,,,,
36,0.11091600358486176,0.8505256175994873,8,,,,,
37,0.10497108101844788,0.8680418729782104,8,,,,,
38,0.10071450471878052,0.8837724328041077,8,,,,,
39,0.09807649254798889,0.8982572555541992,8,,,,,
40,0.09643478691577911,0.911110520362854,8,0.9995670914649963,0.0,1.1414995193481445,546.0164794921875,26.669713973999023
41,0.09546270966529846,0.9222424030303955,8,,,,,
42,0.09487448632717133,0.93233323097229,8,,,,,
43,0.0944850742816925,0.9408105611801147,8,,,,,
44,0.09400114417076111,0.9472126364707947,8,,,,,
45,0.09290607273578644,0.9517821669578552,8,,,,,
46,0.09160113334655762,0.9545196294784546,8,,,,,
47,0.09040982276201248,0.9560591578483582,8,,,,,
48,0.08939722180366516,0.9572566151618958,8,,,,,
49,0.08885077387094498,0.957897961139679,8,,,,,
50,0.0889589861035347,0.957763671875,8,0.9990572333335876,0.0,1.1935758590698242,629.6144409179688,30.167428970336914
51,0.08955209702253342,0.9569610953330994,8,,,,,
52,0.09025823324918747,0.9566311240196228,8,,,,,
53,0.09053424745798111,0.9565258026123047,8,,,,,
54,0.09016138315200806,0.9571497440338135,8,,,,,
55,0.0892091691493988,0.9581805467605591,8,,,,,
56,0.08800636231899261,0.9589713215827942,8,,,,,
57,0.08678119629621506,0.9598414897918701,8,,,,,
58,0.0855470821261406,0.9614332914352417,8,,,,,
59,0.08443982154130936,0.9626892805099487,8,,,,,
60,0.08370930701494217,0.9641335010528564,8,0.9994693994522095,0.0,1.1952611207962036,620.5399780273438,29.96023178100586
61,0.08352789282798767,0.965617299079895,8,,,,,
62,0.0834597796201706,0.9665306806564331,8,,,,,
63,0.08352615684270859,0.9675220847129822,8,,,,,
64,0.08369651436805725,0.9684329032897949,8,,,,,
65,0.08382875472307205,0.9687921404838562,8,,,,,
66,0.08386678993701935,0.9694899320602417,8,,,,,
67,0.08380623161792755,0.9697858691215515,8,,,,,
68,0.08360617607831955,0.9697285890579224,8,,,,,
69,0.0833151713013649,0.9699201583862305,8,,,,,
70,0.083000048995018,0.9698324799537659,8,0.9998778700828552,0.0,1.1874134540557861,600.8112182617188,29.190807342529297
71,0.08272825926542282,0.9697924256324768,8,,,,,
72,0.08248326182365417,0.9701291918754578,8,,,,,
73,0.08221346139907837,0.9700705409049988,8,,,,,
74,0.08206412941217422,0.970554530620575,8,,,,,
75,0.08197518438100815,0.971095621585846,8,,,,,
76,0.08191690593957901,0.9717381000518799,8,,,,,
77,0.08183792233467102,0.9728149771690369,8,,,,,
78,0.08177199214696884,0.9736814498901367,8,,,,,
79,0.08168060332536697,0.9747726321220398,8,,,,,
80,0.08164307475090027,0.9758513569831848,8,0.99991774559021,0.0,1.1902562379837036,614.490234375,30.096454620361328
81,0.08162348717451096,0.9767491817474365,8,,,,,
82,0.0816054716706276,0.9776760339736938,8,,,,,
83,0.0815734937787056,0.978354275226593,8,,,,,
84,0.08154667913913727,0.9788447618484497,8,,,,,
85,0.08152509480714798,0.9792940616607666,8,,,,,
86,0.08148326724767685,0.9793562293052673,8,,,,,
87,0.08142122626304626,0.9794671535491943,8,,,,,
88,0.0813533291220665,0.9791850447654724,8,,,,,
89,0.08131060004234314,0.9790002703666687,8,,,,,
90,0.08127536624670029,0.9787366390228271,8,0.9999382495880127,0.0,1.1857908964157104,619.3252563476562,30.361160278320312
91,0.08123308420181274,0.9783222079277039,8,,,,,
92,0.08123070001602173,0.9781702160835266,8,,,,,
93,0.08123861998319626,0.9777548909187317,8,,,,,
94,0.08124630898237228,0.9777823090553284,8,,,,,
95,0.08124378323554993,0.9775065779685974,8,,,,,
96,0.08123058080673218,0.9777522087097168,8,,,,,
97,0.08120930939912796,0.9777024388313293,8,,,,,
98,0.0811840146780014,0.9779425859451294,8,,,,,
99,0.08115706592798233,0.9780399799346924,8,,,,,
100,0.08113084733486176,0.9781821370124817,8,0.9999852776527405,0.0,1.1848013401031494,614.0172119140625,30.15044593811035
101,0.08110857754945755,0.9784137606620789,8,,,,,
102,0.08110502362251282,0.9783568978309631,8,,,,,
103,0.08110343664884567,0.9784557223320007,8,,,,,
