step,loss,entropy,neurons,activation_ancestry,entropy_alignment,phase_alignment,bifractal_consistency,attractor_density
0,0.5056608319282532,0.0429823100566864,24,,,,,
1,0.47083255648612976,0.04015851393342018,24,,,,,
2,0.4452238380908966,0.053278226405382156,24,,,,,
3,0.4231545329093933,0.07110936939716339,24,,,,,
4,0.4063115417957306,0.09004833549261093,24,,,,,
5,0.39582565426826477,0.10894988477230072,24,,,,,
6,0.3868308365345001,0.1266144961118698,24,,,,,
7,0.3757327198982239,0.14172574877738953,24,,,,,
8,0.366855651140213,0.1542545109987259,24,,,,,
9,0.3664756715297699,0.16464382410049438,24,,,,,
10,0.3735469877719879,0.17337068915367126,24,0.984713077545166,0.0,0.9789230227470398,358.72589111328125,11.992903709411621
11,0.3788517117500305,0.18097983300685883,24,,,,,
12,0.3763810098171234,0.18799790740013123,24,,,,,
13,0.3691619634628296,0.194993793964386,24,,,,,
14,0.3631174564361572,0.20222444832324982,24,,,,,
15,0.3604383170604706,0.20954373478889465,24,,,,,
16,0.36001911759376526,0.2164270579814911,24,,,,,
17,0.3603874146938324,0.22232069075107574,24,,,,,
18,0.3605835437774658,0.2270313948392868,24,,,,,
19,0.35975009202957153,0.23064781725406647,24,,,,,
20,0.3556974530220032,0.2330552488565445,24,0.9965023994445801,0.0,0.9695450663566589,493.13653564453125,14.461649894714355
21,0.35155293345451355,0.23492486774921417,24,,,,,
22,0.3509850800037384,0.23706071078777313,24,,,,,
23,0.3513133227825165,0.23986488580703735,24,,,,,
24,0.3506494164466858,0.24327324330806732,24,,,,,
25,0.35081371665000916,0.2473251223564148,24,,,,,
26,0.3504815995693207,0.25170084834098816,24,,,,,
27,0.3478420376777649,0.25612688064575195,24,,,,,
28,0.3457830548286438,0.2609140872955322,24,,,,,
29,0.34417515993118286,0.2662034332752228,24,,,,,
30,0.34207218885421753,0.2718735933303833,24,0.9972245097160339,0.0,0.9578576683998108,576.9688720703125,17.146747589111328
31,0.3416675627231598,0.27779287099838257,24,,,,,
32,0.34121939539909363,0.283441960811615,24,,,,,
33,0.33970916271209717,0.2886035740375519,24,,,,,
34,0.33875373005867004,0.2934577465057373,24,,,,,
35,0.33686935901641846,0.2980803847312927,24,,,,,
36,0.3358767032623291,0.30262938141822815,24,,,,,
37,0.3354419767856598,0.3072126805782318,24,,,,,
38,0.3345904052257538,0.31193768978118896,24,,,,,
39,0.3340761959552765,0.31701189279556274,24,,,,,
40,0.332548588514328,0.32235053181648254,24,0.999864935874939,0.0,0.9489883184432983,666.74951171875,19.55132293701172
41,0.3317409157752991,0.32783135771751404,24,,,,,
42,0.3307633101940155,0.33307838439941406,24,,,,,
43,0.3305976986885071,0.3379655182361603,24,,,,,
44,0.32987090945243835,0.3424338102340698,24,,,,,
45,0.3293449878692627,0.34638646245002747,24,,,,,
46,0.3284526765346527,0.3498557507991791,24,,,,,
47,0.32834336161613464,0.35325726866722107,24,,,,,
48,0.3280044198036194,0.3569733500480652,24,,,,,
49,0.32786011695861816,0.3610304892063141,24,,,,,
50,0.32721611857414246,0.36525002121925354,24,0.9998775720596313,0.0,0.9434496164321899,768.5442504882812,22.36800765991211
51,0.32696807384490967,0.36961978673934937,24,,,,,
52,0.3268047273159027,0.37384122610092163,24,,,,,
53,0.32654911279678345,0.37750330567359924,24,,,,,
54,0.3262391686439514,0.3805640637874603,24,,,,,
55,0.3257911801338196,0.38332387804985046,24,,,,,
56,0.3257385194301605,0.38603559136390686,24,,,,,
57,0.32553499937057495,0.38884836435317993,24,,,,,
58,0.32511067390441895,0.39192089438438416,24,,,,,
59,0.3249272108078003,0.39508602023124695,24,,,,,
60,0.3247087895870209,0.3979990482330322,24,0.9999004602432251,0.0,0.9367529153823853,841.73974609375,24.558883666992188
61,0.32436874508857727,0.4005568027496338,24,,,,,
62,0.32408997416496277,0.4027586579322815,24,,,,,
63,0.32379400730133057,0.40471169352531433,24,,,,,
64,0.3234885036945343,0.4067182242870331,24,,,,,
65,0.3232029676437378,0.4088889956474304,24,,,,,
66,0.3229018449783325,0.41111862659454346,24,,,,,
67,0.3225957751274109,0.41328129172325134,24,,,,,
68,0.3223268985748291,0.41527074575424194,24,,,,,
69,0.32207635045051575,0.4171399474143982,24,,,,,
70,0.32183924317359924,0.4190846085548401,24,0.9999544024467468,0.0,0.9277400970458984,897.5482177734375,26.354915618896484
71,0.3215745687484741,0.42123064398765564,24,,,,,
72,0.321248859167099,0.4236862361431122,24,,,,,
73,0.32095977663993835,0.4262979328632355,24,,,,,
74,0.32076728343963623,0.4288608431816101,24,,,,,
75,0.32059651613235474,0.4312478303909302,24,,,,,
76,0.3203927278518677,0.43342041969299316,24,,,,,
77,0.32021838426589966,0.43546953797340393,24,,,,,
78,0.320076584815979,0.4375620484352112,24,,,,,
79,0.31993719935417175,0.43972688913345337,24,,,,,
80,0.31986719369888306,0.4420264959335327,24,0.9999722838401794,0.0,0.9193192720413208,940.2042846679688,27.862140655517578
81,0.31981679797172546,0.4442068338394165,24,,,,,
82,0.31977683305740356,0.44643503427505493,24,,,,,
83,0.31948214769363403,0.44829899072647095,24,,,,,
84,0.3190920948982239,0.4502926766872406,24,,,,,
85,0.3186456263065338,0.45205333828926086,24,,,,,
86,0.3182935118675232,0.45409926772117615,24,,,,,
87,0.3182384967803955,0.45615583658218384,24,,,,,
88,0.31838828325271606,0.45815765857696533,24,,,,,
89,0.31855735182762146,0.4603221118450165,24,,,,,
90,0.31860682368278503,0.4620959460735321,24,0.9999793767929077,0.0,0.9133647680282593,982.7160034179688,29.3267765045166
