t,ce,conservation,gate_open,updated
114,3.946671962738037,0.0,0,0
115,4.003825664520264,0.0,1,1
116,4.565787315368652,0.0,1,1
117,3.5753908157348633,0.0,1,1
118,3.326327085494995,0.0,0,0
119,3.4397201538085938,0.0,0,0
120,3.747159242630005,0.0,1,1
121,3.662419319152832,0.0,0,0
122,3.2913761138916016,0.0,0,0
123,3.982814311981201,0.0,0,0
124,3.724318265914917,0.0,1,1
125,3.5139472484588623,0.0,1,1
126,4.00223445892334,0.0,1,1
127,3.8251161575317383,0.0,1,1
128,2.670823574066162,0.0,1,1
129,2.049211025238037,0.0,0,0
130,2.2920069694519043,0.0,0,0
131,2.8775882720947266,0.0,1,1
132,2.5218920707702637,0.0,0,0
133,3.6124327182769775,0.0,1,1
134,4.3120036125183105,0.0,1,1
135,3.829447031021118,0.0,1,1
136,4.299628257751465,0.0,0,0
137,4.224969387054443,0.0,0,0
138,4.602736949920654,0.0,1,1
139,4.145976543426514,0.0,0,0
140,3.9892220497131348,0.0,0,0
141,4.714868545532227,0.0,1,1
142,4.306756496429443,0.0,0,0
143,4.709567546844482,0.0,0,0
144,4.367154121398926,0.0,1,1
145,4.673914432525635,0.0,1,1
146,4.36571741104126,0.0,1,1
147,4.1704840660095215,0.0,1,1
148,4.1186933517456055,0.0,1,1
149,4.3722429275512695,0.0,0,0
150,4.265002250671387,0.0,0,0
151,4.5234785079956055,0.0,1,1
152,4.352011203765869,0.0,1,1
153,4.344715118408203,0.0,1,1
154,4.019233703613281,0.0,0,0
155,4.458353519439697,0.0,1,1
156,3.9605963230133057,0.0,1,1
157,4.27507209777832,0.0,0,0
158,4.303771018981934,0.0,1,1
159,4.318609714508057,0.0,1,1
160,4.196534156799316,0.0,1,1
161,4.308339595794678,0.0,0,0
162,3.9520318508148193,0.0,1,1
163,4.082695484161377,0.0,0,0
164,4.422765254974365,0.0,0,0
165,4.00544548034668,0.0,1,1
166,4.275035381317139,0.0,1,1
167,3.9100050926208496,0.0,0,0
168,4.3856987953186035,0.0,1,1
169,4.377098560333252,0.0,1,1
170,4.339904308319092,0.0,0,0
171,4.1574883460998535,0.0,1,1
172,4.592934608459473,0.0,0,0
173,4.4727582931518555,0.0,1,1
174,3.955615282058716,0.0,0,0
175,4.113099575042725,0.0,0,0
176,4.140165328979492,0.0,1,1
177,4.165441513061523,0.0,0,0
178,3.511495590209961,0.0,0,0
179,3.8570423126220703,0.0,0,0
180,4.087707042694092,0.0,1,1
181,3.8865482807159424,0.0,0,0
182,3.6213982105255127,0.0,0,0
183,4.499131202697754,0.0,1,1
184,4.696167945861816,0.0,1,1
185,5.235894203186035,0.0,1,1
186,4.981090068817139,0.0,1,1
187,4.240446090698242,0.0,1,1
188,3.576449155807495,0.0,0,0
189,4.096202850341797,0.0,1,1
190,3.8230369091033936,0.0,1,1
191,4.384713649749756,0.0,0,0
192,3.9910359382629395,0.0,1,1
193,3.8632001876831055,0.0,1,1
194,3.840648889541626,0.0,1,1
195,4.230091571807861,0.0,0,0
196,4.450002670288086,0.0,0,0
197,4.348625659942627,0.0,1,1
198,4.309440612792969,0.0,0,0
199,4.272080898284912,0.0,1,1
200,4.26259708404541,0.0,0,0
201,4.8619489669799805,0.0,1,1
202,4.004415988922119,0.0,1,1
203,4.598267078399658,0.0,1,1
204,4.113094806671143,0.0,0,0
205,4.0655198097229,0.0,0,0
206,4.376789569854736,0.0,0,0
207,4.346947193145752,0.0,1,1
208,4.139634132385254,0.0,0,0
209,4.097147464752197,0.0,1,1
210,4.201066970825195,0.0,1,1
211,4.426141738891602,0.0,0,0
212,4.158044338226318,0.0,0,0
213,4.456623554229736,0.0,0,0
214,4.438416004180908,0.0,1,1
215,4.294590950012207,0.0,1,1
216,4.55144739151001,0.0,1,1
217,4.360918045043945,0.0,1,1
218,3.045797109603882,0.0,1,1
219,2.845055103302002,0.0,1,1
220,1.6987698078155518,0.0,1,1
221,1.698084831237793,0.0,1,1
222,3.0628838539123535,0.0,0,0
223,2.8072361946105957,0.0,1,1
224,3.064561367034912,0.0,0,0
225,3.3119609355926514,0.0,0,0
226,2.880948781967163,0.0,1,1
227,4.004096984863281,0.0,1,1
228,3.680230140686035,0.0,0,0
229,3.980182647705078,0.0,1,1
230,4.035876750946045,0.0,1,1
231,3.084003448486328,0.0,1,1
232,4.1197967529296875,0.0,1,1
233,4.293745040893555,0.0,0,0
234,4.491544723510742,0.0,1,1
235,3.9851536750793457,0.0,1,1
236,3.5755550861358643,0.0,1,1
237,3.900303602218628,0.0,1,1
238,3.9165046215057373,0.0,1,1
239,4.0034027099609375,0.0,0,0
240,4.193413257598877,0.0,0,0
241,3.7878880500793457,0.0,1,1
242,4.357898712158203,0.0,1,1
243,4.389057636260986,0.0,1,1
244,4.05100154876709,0.0,0,0
245,3.868427038192749,0.0,0,0
246,4.050829887390137,0.0,1,1
247,3.669790267944336,0.0,1,1
248,4.043137550354004,0.0,1,1
249,4.188069820404053,0.0,0,0
250,4.000113010406494,0.0,0,0
251,4.143692970275879,0.0,1,1
252,3.86960768699646,0.0,0,0
253,3.996258020401001,0.0,1,1
254,4.158499717712402,0.0,1,1
255,3.465088129043579,0.0,0,0
256,4.040156364440918,0.0,0,0
257,5.179620265960693,0.0,1,1
258,4.993088722229004,0.0,1,1
259,4.862715244293213,0.0,0,0
260,4.400152683258057,0.0,1,1
261,4.331156253814697,0.0,1,1
262,4.48316764831543,0.0,0,0
263,4.530242443084717,0.0,0,0
264,4.785135746002197,0.0,0,0
265,4.779829025268555,0.0,0,0
266,5.022747993469238,0.0,1,1
267,3.8718390464782715,0.0,0,0
268,4.241217136383057,0.0,0,0
269,4.218082427978516,0.0,1,1
270,3.765981912612915,0.0,0,0
271,4.079897880554199,0.0,0,0
272,4.0246262550354,0.0,1,1
273,4.0457563400268555,0.0,0,0
274,4.214709758758545,0.0,1,1
275,3.598007917404175,0.0,0,0
276,4.130931854248047,0.0,1,1
277,3.8512165546417236,0.0,1,1
278,4.472877502441406,0.0,0,0
279,3.982548952102661,0.0,1,1
280,4.006063938140869,0.0,1,1
281,3.424586772918701,0.0,0,0
282,3.5421924591064453,0.0,0,0
283,3.827230930328369,0.0,0,0
284,4.272843837738037,0.0,0,0
285,3.7675349712371826,0.0,0,0
286,4.483346939086914,0.0,0,0
287,3.9653210639953613,0.0,0,0
288,3.7382373809814453,0.0,0,0
289,3.707939863204956,0.0,0,0
290,4.416703701019287,0.0,1,1
291,4.010156631469727,0.0,0,0
292,4.04575252532959,0.0,0,0
293,4.0705246925354,0.0,0,0
294,4.356642723083496,0.0,1,1
295,4.1709513664245605,0.0,1,1
296,3.844542980194092,0.0,0,0
297,3.3765530586242676,0.0,0,0
298,4.027048110961914,0.0,1,1
299,4.068747520446777,0.0,1,1
300,3.8984603881835938,0.0,0,0
301,3.706913471221924,0.0,1,1
302,4.347466945648193,0.0,1,1
303,4.421946048736572,0.0,0,0
304,4.010830402374268,0.0,1,1
305,2.732041120529175,0.0,1,1
306,3.056743621826172,0.0,1,1
307,3.757434606552124,0.0,0,0
308,2.7330288887023926,0.0,1,1
309,3.846759080886841,0.0,1,1
310,4.4482927322387695,0.0,1,1
311,4.4570088386535645,0.0,1,1
312,4.038215160369873,0.0,0,0
313,3.858307123184204,0.0,1,1
314,4.167995929718018,0.0,1,1
315,4.2153496742248535,0.0,1,1
316,3.210451364517212,0.0,1,1
317,3.9588685035705566,0.0,0,0
318,3.7422258853912354,0.0,1,1
319,3.791834592819214,0.0,1,1
320,3.5267958641052246,0.0,1,1
321,4.433537483215332,0.0,1,1
322,3.5341246128082275,0.0,0,0
323,3.24882435798645,0.0,0,0
324,3.4921555519104004,0.0,0,0
325,3.626288414001465,0.0,1,1
326,3.9063615798950195,0.0,1,1
327,4.252656936645508,0.0,0,0
328,3.6482040882110596,0.0,0,0
329,3.3709828853607178,0.0,0,0
330,2.277440071105957,0.0,1,1
331,3.194394826889038,0.0,0,0
332,3.6428911685943604,0.0,1,1
333,4.23894739151001,0.0,0,0
334,3.2744853496551514,0.0,0,0
335,3.112325429916382,0.0,1,1
336,2.8684041500091553,0.0,0,0
337,4.300389766693115,0.0,1,1
338,3.7694878578186035,0.0,0,0
339,4.4503326416015625,0.0,1,1
340,4.237747669219971,0.0,0,0
341,4.2455058097839355,0.0,0,0
342,4.370848655700684,0.0,1,1
343,3.0885252952575684,0.0,0,0
344,3.8556201457977295,0.0,1,1
345,3.9573047161102295,0.0,0,0
346,3.5442748069763184,0.0,0,0
347,3.3219692707061768,0.0,0,0
348,4.116103172302246,0.0,1,1
349,3.177812099456787,0.0,0,0
350,3.2094485759735107,0.0,1,1
351,3.219423770904541,0.0,1,1
352,3.0846495628356934,0.0,1,1
353,3.9647138118743896,0.0,0,0
354,3.9367847442626953,0.0,1,1
355,3.9129040241241455,0.0,0,0
356,4.08228874206543,0.0,1,1
357,4.096494674682617,0.0,1,1
358,3.314119338989258,0.0,0,0
359,3.2040672302246094,0.0,0,0
360,4.273153781890869,0.0,1,1
361,4.345520973205566,0.0,0,0
362,4.090594291687012,0.0,0,0
363,3.7836573123931885,0.0,1,1
364,4.799489974975586,0.0,1,1
365,3.9856207370758057,0.0,0,0
366,4.1731414794921875,0.0,1,1
367,4.065730571746826,0.0,0,0
368,4.506402492523193,0.0,0,0
369,3.4666919708251953,0.0,0,0
370,4.8529276847839355,0.0,0,0
371,4.484184265136719,0.0,1,1
372,4.160399913787842,0.0,0,0
373,4.077552795410156,0.0,0,0
374,3.837993860244751,0.0,1,1
375,4.37877893447876,0.0,0,0
376,4.365062236785889,0.0,0,0
377,3.564053535461426,0.0,0,0
378,3.847191572189331,0.0,1,1
379,4.480870246887207,0.0,0,0
380,4.440934658050537,0.0,0,0
381,3.9155220985412598,0.0,0,0
382,3.835690498352051,0.0,0,0
383,3.2156565189361572,0.0,0,0
384,3.68593430519104,0.0,0,0
385,3.8483150005340576,0.0,1,1
386,4.175767421722412,0.0,1,1
387,3.5770821571350098,0.0,0,0
388,4.115079402923584,0.0,0,0
389,4.06898832321167,0.0,1,1
390,3.795665740966797,0.0,1,1
391,3.5936522483825684,0.0,0,0
392,3.810922861099243,0.0,1,1
393,3.7267587184906006,0.0,1,1
394,3.8261308670043945,0.0,1,1
395,4.093806266784668,0.0,1,1
396,3.6227962970733643,0.0,1,1
397,4.408064842224121,0.0,0,0
398,4.042365074157715,0.0,0,0
399,4.4017157554626465,0.0,0,0
400,4.023215293884277,0.0,1,1
401,3.83245849609375,0.0,0,0
402,4.127435684204102,0.0,1,1
403,3.7095255851745605,0.0,1,1
404,4.4280853271484375,0.0,0,0
405,3.986292600631714,0.0,0,0
406,3.689499616622925,0.0,0,0
407,3.2654950618743896,0.0,0,0
408,3.7088465690612793,0.0,0,0
409,3.5798275470733643,0.0,0,0
410,3.435861587524414,0.0,0,0
411,3.845755100250244,0.0,0,0
412,4.145525932312012,0.0,0,0
413,3.6803839206695557,0.0,0,0
414,3.936295509338379,0.0,1,1
415,3.467569589614868,0.0,1,1
416,3.8282172679901123,0.0,1,1
417,3.4543023109436035,0.0,1,1
418,3.4474759101867676,0.0,1,1
419,3.2502329349517822,0.0,1,1
420,4.448952674865723,0.0,1,1
421,3.931406021118164,0.0,0,0
422,4.209887504577637,0.0,1,1
423,4.315523147583008,0.0,0,0
424,4.6069111824035645,0.0,0,0
425,4.351497650146484,0.0,0,0
426,4.260074615478516,0.0,0,0
427,4.277924537658691,0.0,0,0
428,4.420979976654053,0.0,1,1
429,4.252662658691406,0.0,0,0
430,4.437105178833008,0.0,1,1
431,4.518316745758057,0.0,0,0
432,4.143624305725098,0.0,1,1
433,3.8771448135375977,0.0,1,1
434,3.7831950187683105,0.0,1,1
435,3.8590266704559326,0.0,1,1
436,4.08962345123291,0.0,1,1
437,4.392823219299316,0.0,0,0
438,2.8119800090789795,0.0,0,0
439,2.8226258754730225,0.0,1,1
440,3.261986017227173,0.0,0,0
441,3.2113630771636963,0.0,1,1
442,2.9087975025177,0.0,0,0
443,3.560190439224243,0.0,0,0
444,3.0556423664093018,0.0,0,0
445,2.7214548587799072,0.0,1,1
446,3.536827325820923,0.0,1,1
447,2.8572280406951904,0.0,1,1
448,3.444504976272583,0.0,0,0
449,3.4583964347839355,0.0,0,0
450,3.1737098693847656,0.0,1,1
451,3.8751888275146484,0.0,0,0
452,3.9628536701202393,0.0,0,0
453,3.3209335803985596,0.0,0,0
454,3.2674026489257812,0.0,1,1
455,3.445810556411743,0.0,0,0
456,3.23270583152771,0.0,1,1
457,3.3876640796661377,0.0,0,0
458,3.3120431900024414,0.0,1,1
459,4.004936695098877,0.0,0,0
460,3.895612955093384,0.0,0,0
461,3.2714247703552246,0.0,0,0
462,2.5451745986938477,0.0,0,0
463,3.4241366386413574,0.0,1,1
464,3.1533026695251465,0.0,0,0
465,3.434221029281616,0.0,0,0
466,4.334340572357178,0.0,1,1
467,3.7958247661590576,0.0,1,1
468,3.979156017303467,0.0,1,1
469,4.055697917938232,0.0,1,1
470,3.8862361907958984,0.0,1,1
471,3.5911262035369873,0.0,1,1
472,3.270613670349121,0.0,1,1
473,2.811721086502075,0.0,1,1
474,3.5049545764923096,0.0,1,1
475,4.0373148918151855,0.0,0,0
476,4.182643890380859,0.0,0,0
477,3.621087074279785,0.0,0,0
478,3.9258859157562256,0.0,0,0
479,4.460407257080078,0.0,0,0
480,3.8001136779785156,0.0,0,0
481,3.5541372299194336,0.0,0,0
482,3.8660566806793213,0.0,1,1
483,3.0056726932525635,0.0,1,1
484,4.282034397125244,0.0,0,0
485,4.1823577880859375,0.0,0,0
486,4.316404819488525,0.0,1,1
487,4.006241798400879,0.0,0,0
488,3.717989921569824,0.0,1,1
489,3.4514710903167725,0.0,0,0
490,3.960970878601074,0.0,0,0
491,3.947737693786621,0.0,0,0
492,3.8631742000579834,0.0,0,0
493,4.299603462219238,0.0,1,1
494,4.154752254486084,0.0,1,1
495,3.9977381229400635,0.0,1,1
496,3.577667474746704,0.0,0,0
497,4.314213752746582,0.0,1,1
498,4.729310035705566,0.0,1,1
499,3.5848770141601562,0.0,0,0
500,3.9759533405303955,0.0,0,0
501,4.028006553649902,0.0,1,1
502,3.6686856746673584,0.0,0,0
503,4.501357555389404,0.0,1,1
504,3.992356777191162,0.0,1,1
505,3.6828346252441406,0.0,1,1
506,4.159627437591553,0.0,0,0
507,3.7932677268981934,0.0,0,0
508,4.217753887176514,0.0,1,1
509,4.164093017578125,0.0,1,1
510,4.139062881469727,0.0,1,1
511,3.8658509254455566,0.0,1,1
512,4.470770359039307,0.0,0,0
513,4.630921363830566,0.0,1,1
514,4.122525691986084,0.0,1,1
515,3.5958449840545654,0.0,1,1
516,3.8952953815460205,0.0,0,0
517,3.737647294998169,0.0,1,1
518,3.5612974166870117,0.0,1,1
519,4.329661846160889,0.0,0,0
520,4.870193004608154,0.0,0,0
521,3.389235019683838,0.0,1,1
522,3.256753921508789,0.0,1,1
523,3.478262186050415,0.0,1,1
524,4.830474376678467,0.0,1,1
525,3.7729101181030273,0.0,1,1
526,2.2992210388183594,0.0,1,1
527,2.3834786415100098,0.0,1,1
528,1.7051562070846558,0.0,1,1
529,1.7960644960403442,0.0,0,0
530,2.6895556449890137,0.0,1,1
531,3.110215663909912,0.0,0,0
532,2.682041645050049,0.0,1,1
533,2.167792558670044,0.0,1,1
534,2.8964812755584717,0.0,1,1
535,3.33315372467041,0.0,0,0
536,3.616614818572998,0.0,0,0
537,3.275890350341797,0.0,1,1
538,3.38889479637146,0.0,0,0
539,2.657472610473633,0.0,0,0
540,3.1611180305480957,0.0,0,0
541,2.70963191986084,0.0,1,1
542,3.430842638015747,0.0,0,0
543,3.1752541065216064,0.0,0,0
544,2.569546699523926,0.0,0,0
545,2.4575562477111816,0.0,0,0
546,3.631355047225952,0.0,1,1
547,4.097540378570557,0.0,1,1
548,4.263124942779541,0.0,1,1
549,3.725773811340332,0.0,0,0
550,3.5191047191619873,0.0,0,0
551,3.715142011642456,0.0,0,0
552,4.174651622772217,0.0,0,0
553,4.318821430206299,0.0,0,0
554,3.6668026447296143,0.0,1,1
555,4.057748317718506,0.0,1,1
556,3.977299928665161,0.0,1,1
557,3.8977155685424805,0.0,1,1
558,3.54379940032959,0.0,1,1
559,3.2930917739868164,0.0,0,0
560,3.8536064624786377,0.0,1,1
561,3.859281539916992,0.0,0,0
562,3.6439144611358643,0.0,0,0
563,4.355397701263428,0.0,0,0
564,4.3687520027160645,0.0,0,0
565,3.9023053646087646,0.0,1,1
566,4.4646525382995605,0.0,0,0
567,4.060613632202148,0.0,1,1
568,4.256427764892578,0.0,1,1
569,3.829951763153076,0.0,1,1
570,4.047089099884033,0.0,0,0
571,3.627568006515503,0.0,1,1
572,3.972609043121338,0.0,1,1
573,4.187347412109375,0.0,0,0
574,4.162167072296143,0.0,1,1
575,4.004401683807373,0.0,0,0
576,4.310181140899658,0.0,0,0
577,4.071167469024658,0.0,1,1
578,3.9686119556427,0.0,0,0
579,3.1306707859039307,0.0,0,0
580,3.725104331970215,0.0,1,1
581,3.2226176261901855,0.0,1,1
582,3.3712244033813477,0.0,0,0
583,3.8850908279418945,0.0,1,1
584,3.6983330249786377,0.0,1,1
585,3.392118215560913,0.0,1,1
586,2.578016996383667,0.0,0,0
587,2.891986608505249,0.0,1,1
588,3.1096904277801514,0.0,0,0
589,3.0258851051330566,0.0,0,0
590,3.281879186630249,0.0,0,0
591,2.909849166870117,0.0,1,1
592,3.533069133758545,0.0,1,1
593,3.4854886531829834,0.0,1,1
594,3.5826432704925537,0.0,0,0
595,3.2377545833587646,0.0,0,0
596,3.309203624725342,0.0,1,1
597,3.7192718982696533,0.0,1,1
598,3.8426461219787598,0.0,1,1
599,3.918701410293579,0.0,0,0
600,4.00649881362915,0.0,0,0
601,4.1355743408203125,0.0,1,1
602,4.47343111038208,0.0,1,1
603,2.8449769020080566,0.0,0,0
604,2.7412476539611816,0.0,1,1
605,3.5756142139434814,0.0,1,1
606,4.2933030128479,0.0,1,1
607,3.035304307937622,0.0,1,1
608,3.6710805892944336,0.0,1,1
609,3.9487104415893555,0.0,0,0
610,4.004652500152588,0.0,1,1
611,3.984187126159668,0.0,1,1
612,4.307713985443115,0.0,1,1
613,3.605370283126831,0.0,1,1
614,3.244281053543091,0.0,0,0
615,3.3830013275146484,0.0,1,1
616,3.565174102783203,0.0,0,0
617,3.928006172180176,0.0,0,0
618,3.407083034515381,0.0,1,1
619,2.9839742183685303,0.0,0,0
620,3.793325901031494,0.0,1,1
621,2.4403162002563477,0.0,0,0
622,3.2101197242736816,0.0,0,0
623,3.413318395614624,0.0,1,1
624,4.434540271759033,0.0,0,0
625,3.5559141635894775,0.0,1,1
626,3.5291383266448975,0.0,1,1
627,2.746210813522339,0.0,1,1
628,2.9453742504119873,0.0,1,1
629,3.2713189125061035,0.0,1,1
630,2.828155755996704,0.0,1,1
631,3.1022751331329346,0.0,0,0
632,3.27870774269104,0.0,1,1
633,2.8711421489715576,0.0,0,0
634,3.2909209728240967,0.0,1,1
635,3.133112668991089,0.0,0,0
636,3.3839776515960693,0.0,0,0
637,2.882058620452881,0.0,0,0
638,3.179772138595581,0.0,0,0
639,3.5477852821350098,0.0,0,0
640,3.550361156463623,0.0,0,0
641,3.345858097076416,0.0,1,1
642,4.115872383117676,0.0,0,0
643,3.9307937622070312,0.0,1,1
644,4.688161849975586,0.0,1,1
645,3.7500932216644287,0.0,1,1
646,4.585854530334473,0.0,0,0
647,4.338291168212891,0.0,1,1
648,4.003511428833008,0.0,1,1
649,3.8650996685028076,0.0,0,0
650,4.289599418640137,0.0,1,1
651,3.6870360374450684,0.0,0,0
652,4.197409152984619,0.0,0,0
653,4.059902667999268,0.0,1,1
654,4.289229393005371,0.0,0,0
655,4.632169246673584,0.0,0,0
656,4.1433892250061035,0.0,0,0
657,3.6449902057647705,0.0,1,1
658,4.030385494232178,0.0,1,1
659,3.8061716556549072,0.0,1,1
660,3.491060733795166,0.0,0,0
661,4.200221538543701,0.0,1,1
662,3.2814202308654785,0.0,0,0
663,3.5187392234802246,0.0,1,1
664,4.3792405128479,0.0,1,1
665,3.9200756549835205,0.0,0,0
666,4.050947666168213,0.0,1,1
667,3.6316616535186768,0.0,0,0
668,3.640786647796631,0.0,1,1
669,3.378262758255005,0.0,1,1
670,3.182539939880371,0.0,0,0
671,3.687504291534424,0.0,1,1
672,3.2815423011779785,0.0,1,1
673,2.9559075832366943,0.0,1,1
674,2.8054521083831787,0.0,1,1
675,3.241541862487793,0.0,0,0
676,3.3848133087158203,0.0,1,1
677,3.5538852214813232,0.0,0,0
678,3.5704102516174316,0.0,0,0
679,3.7243635654449463,0.0,0,0
680,4.303085803985596,0.0,0,0
681,4.374478340148926,0.0,1,1
682,3.4897918701171875,0.0,1,1
683,4.851630210876465,0.0,1,1
684,3.775191307067871,0.0,1,1
685,4.225215911865234,0.0,1,1
686,4.706595420837402,0.0,1,1
687,4.491471767425537,0.0,0,0
688,4.535897254943848,0.0,0,0
689,4.661643028259277,0.0,1,1
690,4.595928192138672,0.0,1,1
691,3.634920358657837,0.0,0,0
692,4.584218502044678,0.0,0,0
693,3.923408031463623,0.0,0,0
694,4.803875923156738,0.0,1,1
695,4.7310285568237305,0.0,0,0
696,4.741177558898926,0.0,1,1
697,4.20323371887207,0.0,0,0
698,4.635378360748291,0.0,1,1
699,3.751066207885742,0.0,1,1
700,3.799827814102173,0.0,0,0
701,3.4674859046936035,0.0,1,1
702,3.2119696140289307,0.0,1,1
703,3.8061423301696777,0.0,1,1
704,4.075164318084717,0.0,0,0
705,3.8626739978790283,0.0,1,1
706,4.175380706787109,0.0,1,1
707,4.063198566436768,0.0,0,0
708,3.6366689205169678,0.0,1,1
709,3.630058765411377,0.0,0,0
710,4.057538032531738,0.0,1,1
711,4.004408836364746,0.0,0,0
712,4.9415106773376465,0.0,1,1
713,5.102327823638916,0.0,1,1
714,4.822218418121338,0.0,0,0
715,4.066433429718018,0.0,0,0
716,3.3832006454467773,0.0,1,1
717,3.476867914199829,0.0,0,0
718,3.014727830886841,0.0,1,1
719,3.3587887287139893,0.0,0,0
720,4.16110897064209,0.0,1,1
721,3.647118330001831,0.0,1,1
722,3.8035542964935303,0.0,1,1
723,3.3858892917633057,0.0,0,0
724,2.8813929557800293,0.0,1,1
725,3.888925075531006,0.0,1,1
726,3.256349563598633,0.0,0,0
727,3.328364133834839,0.0,0,0
728,3.670955181121826,0.0,0,0
729,3.528841257095337,0.0,1,1
730,3.61216402053833,0.0,1,1
731,3.6226165294647217,0.0,1,1
732,3.393723726272583,0.0,1,1
733,3.39555287361145,0.0,0,0
734,2.530656576156616,0.0,1,1
735,2.2295615673065186,0.0,1,1
736,3.098097562789917,0.0,1,1
737,3.0496950149536133,0.0,0,0
738,3.514774799346924,0.0,0,0
