t,cka,drift,heldout_ce
100,,,3.894384652376175
200,,,3.8494733273983
300,1.0,0.0,3.8254653811454773
400,0.9998772896116029,0.0001227103883970626,3.8167644739151
500,0.9998352865459644,0.00016471345403556992,3.811140865087509
600,0.9997884006337608,0.00021159936623915687,3.806838184595108
700,0.9997236580630423,0.0002763419369576914,3.7993463575839996
800,0.9996705885917653,0.0003294114082347255,3.7977915704250336
900,0.9994710798967407,0.0005289201032593338,3.800281584262848
1000,0.99952447563318,0.00047552436681996824,3.791615217924118
1100,0.9994545305844722,0.0005454694155277995,3.787962645292282
1200,0.9994272992172964,0.0005727007827035502,3.7860659062862396
1300,0.9992469623071596,0.0007530376928404081,3.7867740392684937
1400,0.9991048920665241,0.0008951079334759138,3.7842054665088654
1500,0.9990743022768498,0.0009256977231502095,3.783378690481186
1600,0.9991483387984158,0.0008516612015841973,3.783478260040283
1700,0.9990307742657953,0.0009692257342046595,3.781633675098419
1800,0.9988753710542358,0.00112462894576415,3.7807312309741974
1900,0.9988363443933271,0.0011636556066728643,3.7807633876800537
2000,0.9987124693956444,0.0012875306043556023,3.7777891159057617
2100,0.9987122807539337,0.001287719246066299,3.7772255539894104
2200,0.998490792233615,0.001509207766384968,3.776742309331894
2300,0.9985042344490705,0.001495765550929451,3.7784900069236755
2400,0.9984265886024899,0.001573411397510105,3.7769505381584167
2500,0.9984672569190768,0.0015327430809232157,3.775256484746933
2600,0.9984588732127384,0.001541126787261593,3.7724591195583344
2700,0.9984082860233726,0.0015917139766273847,3.7723293006420135
2800,0.9983445953673004,0.0016554046326996419,3.770899087190628
2900,0.9984365290690107,0.001563470930989297,3.7715094685554504
3000,0.9984149231972161,0.001585076802783858,3.7716138660907745
3100,0.9983533355404608,0.0016466644595392044,3.7711575031280518
3200,0.9982666172220411,0.0017333827779588695,3.7688145339488983
3300,0.9982598029004398,0.0017401970995601923,3.766832321882248
3400,0.9981266581741792,0.0018733418258207735,3.767407238483429
3500,0.9981541029365365,0.0018458970634634975,3.7680071592330933
3600,0.9980737520131425,0.0019262479868574767,3.7656382024288177
3700,0.9979557265451522,0.0020442734548478114,3.7683403491973877
3800,0.9977793758644528,0.0022206241355472445,3.767142176628113
3900,0.997519667799771,0.0024803322002290296,3.7679249048233032
4000,0.9974829948809236,0.0025170051190763765,3.764906018972397
4100,0.9975156813683416,0.002484318631658433,3.7660180926322937
4200,0.9976333360259169,0.0023666639740831386,3.7649912238121033
4300,0.997779721684746,0.002220278315253954,3.7644466161727905
4400,0.9977550572927535,0.002244942707246511,3.763739973306656
4500,0.9976770574486673,0.0023229425513326962,3.7622818052768707
4600,0.9976078443837608,0.0023921556162391777,3.7639094591140747
4700,0.9974847070339683,0.0025152929660317014,3.761240839958191
4800,0.9974696885249369,0.0025303114750631073,3.7604860663414
4900,0.9973770565549579,0.002622943445042103,3.7605815529823303
5000,0.9973439270622351,0.0026560729377649306,3.7610566318035126
5100,0.9972497063047419,0.0027502936952581436,3.759127527475357
5200,0.9970992180785095,0.0029007819214904584,3.7593299448490143
5300,0.997093442772019,0.0029065572279810548,3.759826183319092
5400,0.9971733347588598,0.0028266652411401694,3.75877246260643
5500,0.9971344639023844,0.0028655360976156397,3.7592289745807648
5600,0.9970745622321685,0.002925437767831496,3.759099096059799
5700,0.9969008483912633,0.00309915160873675,3.758259505033493
5800,0.9972990245252022,0.002700975474797751,3.756828486919403
5900,0.9972627672832769,0.0027372327167231036,3.757637530565262
6000,0.9971538438155848,0.002846156184415194,3.7537479400634766
6100,0.9970646594371234,0.002935340562876587,3.753188520669937
6200,0.9968249446259865,0.0031750553740135246,3.7548604905605316
6300,0.9967260448075925,0.003273955192407474,3.7559248507022858
6400,0.9968564039130363,0.0031435960869636848,3.755310148000717
6500,0.9968614594490727,0.0031385405509273268,3.75426584482193
6600,0.9968052219226504,0.0031947780773495804,3.7559747397899628
6700,0.9968153950233839,0.003184604976616101,3.7551190853118896
6800,0.9968704361485093,0.0031295638514906576,3.755395084619522
6900,0.9967555253674302,0.003244474632569827,3.755906254053116
7000,0.9966200645697626,0.003379935430237402,3.755607008934021
7100,0.9967601651772745,0.003239834822725496,3.756755977869034
7200,0.9968173232972719,0.0031826767027280933,3.756538599729538
7300,0.9967345307519457,0.0032654692480542646,3.7566113770008087
7400,0.9967159074712703,0.003284092528729743,3.7561296224594116
7500,0.9966593171734773,0.0033406828265226673,3.754424273967743
7600,0.9965680980928965,0.0034319019071035184,3.7568255066871643
7700,0.9966089684708656,0.0033910315291344473,3.7562015056610107
7800,0.9967537153476275,0.003246284652372533,3.7548088431358337
7900,0.9966203035866186,0.003379696413381428,3.755123734474182
8000,0.9967064284221937,0.003293571577806298,3.754022777080536
8100,0.9966909859586233,0.0033090140413767344,3.7538545429706573
8200,0.9966590378783989,0.0033409621216010654,3.7544011771678925
8300,0.9965629101742552,0.0034370898257447546,3.7530376315116882
8400,0.9965025415777459,0.0034974584222541294,3.753900557756424
8500,0.9965103790840063,0.0034896209159936964,3.7542087733745575
8600,0.9964516769514057,0.003548323048594315,3.7567003965377808
8700,0.9963623130924009,0.003637686907599136,3.7524680495262146
8800,0.9964472380076077,0.003552761992392295,3.7540750205516815
8900,0.9963241198046021,0.003675880195397885,3.754559278488159
9000,0.9962234132582191,0.0037765867417809407,3.754832923412323
9100,0.9964270719112109,0.0035729280887890624,3.7545919120311737
9200,0.9963846432595848,0.003615356740415243,3.755273699760437
9300,0.9961691750399176,0.0038308249600823574,3.7566854059696198
9400,0.9961563212839861,0.0038436787160138763,3.7558097541332245
9500,0.9962809618715189,0.003719038128481067,3.7560359239578247
9600,0.9961911202850089,0.003808879714991109,3.7544840574264526
9700,0.9961506991300201,0.0038493008699799214,3.755600094795227
9800,0.9959689922651472,0.004031007734852765,3.754735082387924
9900,0.9961978167883913,0.003802183211608745,3.7522798776626587
10000,0.996142559811245,0.0038574401887550014,3.751649409532547
