ce_first20,ce_last20,plasticity,t
3.183076560497284,4.085476517677307,-0.28349929376362354,300
3.151686406135559,4.058594369888306,-0.2877532363941624,2500
3.141901206970215,4.052688324451447,-0.2898840724752241,5000
3.139363646507263,4.050044274330139,-0.2900844661770801,7500
3.1389092683792112,4.041955947875977,-0.28769441930233386,10000
