t,cka,drift,heldout_loss
100,,,3.5928731858730316
200,,,3.5928731858730316
300,1.0,0.0,3.5928731858730316
400,1.0,0.0,3.5928731858730316
500,1.0,0.0,3.5928731858730316
600,1.0,0.0,3.5928731858730316
700,1.0,0.0,3.5928731858730316
800,1.0,0.0,3.5928731858730316
900,1.0,0.0,3.5928731858730316
1000,1.0,0.0,3.5928731858730316
1100,1.0,0.0,3.5928731858730316
1200,1.0,0.0,3.5928731858730316
1300,1.0,0.0,3.5928731858730316
1400,1.0,0.0,3.5928731858730316
1500,1.0,0.0,3.5928731858730316
1600,1.0,0.0,3.5928731858730316
1700,1.0,0.0,3.5928731858730316
1800,1.0,0.0,3.5928731858730316
1900,1.0,0.0,3.5928731858730316
2000,1.0,0.0,3.5928731858730316
2100,1.0,0.0,3.5928731858730316
2200,1.0,0.0,3.5928731858730316
2300,1.0,0.0,3.5928731858730316
2400,1.0,0.0,3.5928731858730316
2500,1.0,0.0,3.5928731858730316
2600,1.0,0.0,3.5928731858730316
2700,1.0,0.0,3.5928731858730316
2800,1.0,0.0,3.5928731858730316
2900,1.0,0.0,3.5928731858730316
3000,1.0,0.0,3.5928731858730316
3100,1.0,0.0,3.5928731858730316
3200,1.0,0.0,3.5928731858730316
3300,1.0,0.0,3.5928731858730316
3400,1.0,0.0,3.5928731858730316
3500,1.0,0.0,3.5928731858730316
3600,1.0,0.0,3.5928731858730316
3700,1.0,0.0,3.5928731858730316
3800,1.0,0.0,3.5928731858730316
3900,1.0,0.0,3.5928731858730316
4000,1.0,0.0,3.5928731858730316
4100,1.0,0.0,3.5928731858730316
4200,1.0,0.0,3.5928731858730316
4300,1.0,0.0,3.5928731858730316
4400,1.0,0.0,3.5928731858730316
4500,1.0,0.0,3.5928731858730316
4600,1.0,0.0,3.5928731858730316
4700,1.0,0.0,3.5928731858730316
4800,1.0,0.0,3.5928731858730316
4900,1.0,0.0,3.5928731858730316
5000,1.0,0.0,3.5928731858730316
5100,1.0,0.0,3.5928731858730316
5200,1.0,0.0,3.5928731858730316
5300,1.0,0.0,3.5928731858730316
5400,1.0,0.0,3.5928731858730316
5500,1.0,0.0,3.5928731858730316
5600,1.0,0.0,3.5928731858730316
5700,1.0,0.0,3.5928731858730316
5800,1.0,0.0,3.5928731858730316
5900,1.0,0.0,3.5928731858730316
6000,1.0,0.0,3.5928731858730316
6100,1.0,0.0,3.5928731858730316
6200,1.0,0.0,3.5928731858730316
6300,1.0,0.0,3.5928731858730316
6400,1.0,0.0,3.5928731858730316
6500,1.0,0.0,3.5928731858730316
6600,1.0,0.0,3.5928731858730316
6700,1.0,0.0,3.5928731858730316
6800,1.0,0.0,3.5928731858730316
6900,1.0,0.0,3.5928731858730316
7000,1.0,0.0,3.5928731858730316
7100,1.0,0.0,3.5928731858730316
7200,1.0,0.0,3.5928731858730316
7300,1.0,0.0,3.5928731858730316
7400,1.0,0.0,3.5928731858730316
7500,1.0,0.0,3.5928731858730316
7600,1.0,0.0,3.5928731858730316
7700,1.0,0.0,3.5928731858730316
7800,1.0,0.0,3.5928731858730316
7900,1.0,0.0,3.5928731858730316
8000,1.0,0.0,3.5928731858730316
8100,1.0,0.0,3.5928731858730316
8200,1.0,0.0,3.5928731858730316
8300,1.0,0.0,3.5928731858730316
8400,1.0,0.0,3.5928731858730316
8500,1.0,0.0,3.5928731858730316
8600,1.0,0.0,3.5928731858730316
8700,1.0,0.0,3.5928731858730316
8800,1.0,0.0,3.5928731858730316
8900,1.0,0.0,3.5928731858730316
9000,1.0,0.0,3.5928731858730316
9100,1.0,0.0,3.5928731858730316
9200,1.0,0.0,3.5928731858730316
9300,1.0,0.0,3.5928731858730316
9400,1.0,0.0,3.5928731858730316
9500,1.0,0.0,3.5928731858730316
9600,1.0,0.0,3.5928731858730316
9700,1.0,0.0,3.5928731858730316
9800,1.0,0.0,3.5928731858730316
9900,1.0,0.0,3.5928731858730316
10000,1.0,0.0,3.5928731858730316
