t,cka,drift,heldout_ce
100,,,4.117187350988388
200,,,4.117187350988388
300,1.0,0.0,4.117187350988388
400,1.0,0.0,4.117187350988388
500,1.0,0.0,4.117187350988388
600,1.0,0.0,4.117187350988388
700,1.0,0.0,4.117187350988388
800,1.0,0.0,4.117187350988388
900,1.0,0.0,4.117187350988388
1000,1.0,0.0,4.117187350988388
1100,1.0,0.0,4.117187350988388
1200,1.0,0.0,4.117187350988388
1300,1.0,0.0,4.117187350988388
1400,1.0,0.0,4.117187350988388
1500,1.0,0.0,4.117187350988388
1600,1.0,0.0,4.117187350988388
1700,1.0,0.0,4.117187350988388
1800,1.0,0.0,4.117187350988388
1900,1.0,0.0,4.117187350988388
2000,1.0,0.0,4.117187350988388
2100,1.0,0.0,4.117187350988388
2200,1.0,0.0,4.117187350988388
2300,1.0,0.0,4.117187350988388
2400,1.0,0.0,4.117187350988388
2500,1.0,0.0,4.117187350988388
2600,1.0,0.0,4.117187350988388
2700,1.0,0.0,4.117187350988388
2800,1.0,0.0,4.117187350988388
2900,1.0,0.0,4.117187350988388
3000,1.0,0.0,4.117187350988388
3100,1.0,0.0,4.117187350988388
3200,1.0,0.0,4.117187350988388
3300,1.0,0.0,4.117187350988388
3400,1.0,0.0,4.117187350988388
3500,1.0,0.0,4.117187350988388
3600,1.0,0.0,4.117187350988388
3700,1.0,0.0,4.117187350988388
3800,1.0,0.0,4.117187350988388
3900,1.0,0.0,4.117187350988388
4000,1.0,0.0,4.117187350988388
4100,1.0,0.0,4.117187350988388
4200,1.0,0.0,4.117187350988388
4300,1.0,0.0,4.117187350988388
4400,1.0,0.0,4.117187350988388
4500,1.0,0.0,4.117187350988388
4600,1.0,0.0,4.117187350988388
4700,1.0,0.0,4.117187350988388
4800,1.0,0.0,4.117187350988388
4900,1.0,0.0,4.117187350988388
5000,1.0,0.0,4.117187350988388
5100,1.0,0.0,4.117187350988388
5200,1.0,0.0,4.117187350988388
5300,1.0,0.0,4.117187350988388
5400,1.0,0.0,4.117187350988388
5500,1.0,0.0,4.117187350988388
5600,1.0,0.0,4.117187350988388
5700,1.0,0.0,4.117187350988388
5800,1.0,0.0,4.117187350988388
5900,1.0,0.0,4.117187350988388
6000,1.0,0.0,4.117187350988388
6100,1.0,0.0,4.117187350988388
6200,1.0,0.0,4.117187350988388
6300,1.0,0.0,4.117187350988388
6400,1.0,0.0,4.117187350988388
6500,1.0,0.0,4.117187350988388
6600,1.0,0.0,4.117187350988388
6700,1.0,0.0,4.117187350988388
6800,1.0,0.0,4.117187350988388
6900,1.0,0.0,4.117187350988388
7000,1.0,0.0,4.117187350988388
7100,1.0,0.0,4.117187350988388
7200,1.0,0.0,4.117187350988388
7300,1.0,0.0,4.117187350988388
7400,1.0,0.0,4.117187350988388
7500,1.0,0.0,4.117187350988388
7600,1.0,0.0,4.117187350988388
7700,1.0,0.0,4.117187350988388
7800,1.0,0.0,4.117187350988388
7900,1.0,0.0,4.117187350988388
8000,1.0,0.0,4.117187350988388
8100,1.0,0.0,4.117187350988388
8200,1.0,0.0,4.117187350988388
8300,1.0,0.0,4.117187350988388
8400,1.0,0.0,4.117187350988388
8500,1.0,0.0,4.117187350988388
8600,1.0,0.0,4.117187350988388
8700,1.0,0.0,4.117187350988388
8800,1.0,0.0,4.117187350988388
8900,1.0,0.0,4.117187350988388
9000,1.0,0.0,4.117187350988388
9100,1.0,0.0,4.117187350988388
9200,1.0,0.0,4.117187350988388
9300,1.0,0.0,4.117187350988388
9400,1.0,0.0,4.117187350988388
9500,1.0,0.0,4.117187350988388
9600,1.0,0.0,4.117187350988388
9700,1.0,0.0,4.117187350988388
9800,1.0,0.0,4.117187350988388
9900,1.0,0.0,4.117187350988388
10000,1.0,0.0,4.117187350988388
